date,Total Housing Completions Period Chg,Single-Family Completions Period Chg,5+ Unit Completions Period Chg
2009-01-01,-23.9,-17.49,-35.03
2009-02-01,5.41,-5.48,32.84
2009-03-01,2.44,1.87,2.95
2009-04-01,0.83,-2.39,7.17
2009-05-01,-3.31,-7.52,5.35
2009-06-01,-2.57,3.05,-11.43
2009-07-01,0.0,-1.38,1.43
2009-08-01,-0.63,3.4,-8.48
2009-09-01,-8.96,-6.96,-14.29
2009-10-01,3.47,9.36,-7.66
2009-11-01,13.14,7.79,27.8
2009-12-01,-11.14,-13.05,-9.92
2010-01-01,-8.13,-9.13,-5.93
2010-02-01,-2.76,1.79,-7.66
2010-03-01,-5.22,7.68,-33.66
2010-04-01,16.06,13.24,25.0
2010-05-01,-4.75,-6.83,5.29
2010-06-01,27.35,32.05,12.85
2010-07-01,-36.02,-31.29,-53.47
2010-08-01,3.5,0.64,20.21
2010-09-01,6.76,2.33,21.24
2010-10-01,-4.27,-1.03,-13.14
2010-11-01,-8.76,-9.81,-3.36
2010-12-01,2.36,5.09,-13.04
2011-01-01,-7.96,-6.83,-9.0
2011-02-01,18.27,13.71,38.46
2011-03-01,-3.9,-23.49,70.63
2011-04-01,-7.11,17.66,-53.95
2011-05-01,0.0,2.31,2.02
2011-06-01,5.46,2.26,8.91
2011-07-01,9.5,7.73,25.45
2011-08-01,-3.15,-1.84,-5.07
2011-09-01,-1.79,-11.06,27.48
2011-10-01,-6.14,2.82,-26.95
2011-11-01,3.36,5.48,-3.28
2011-12-01,4.27,0.0,17.8
2012-01-01,-10.66,-15.15,4.32
2012-02-01,2.94,7.4,-6.21
2012-03-01,3.74,3.09,0.0
2012-04-01,15.29,13.82,27.94
2012-05-01,-6.71,-3.85,-22.99
2012-06-01,-0.16,1.47,-5.22
2012-07-01,8.16,-1.66,51.97
2012-08-01,1.18,3.8,-5.18
2012-09-01,-4.68,4.07,-26.23
2012-10-01,11.96,2.54,48.15
2012-11-01,-8.49,-2.29,-27.0
2012-12-01,1.35,2.34,-1.37
2013-01-01,5.47,5.9,3.47
2013-02-01,2.1,3.96,-3.36
2013-03-01,11.93,4.5,43.75
2013-04-01,-12.75,-13.25,-12.56
2013-05-01,-0.56,4.77,-17.68
2013-06-01,3.95,-3.1,28.19
2013-07-01,6.52,8.65,3.66
2013-08-01,-2.42,-1.21,-4.55
2013-09-01,1.44,1.05,1.06
2013-10-01,3.22,4.68,-3.14
2013-11-01,4.74,-0.5,22.16
2013-12-01,-7.27,-6.82,-9.73
2014-01-01,7.71,6.61,11.27
2014-02-01,4.53,5.36,4.85
2014-03-01,1.94,0.0,5.46
2014-04-01,-6.61,-4.93,-7.57
2014-05-01,6.83,4.01,10.78
2014-06-01,-10.21,-6.59,-16.73
2014-07-01,4.88,8.43,-5.14
2014-08-01,8.22,-3.65,43.35
2014-09-01,7.38,5.77,12.03
2014-10-01,-5.64,-3.74,-9.51
2014-11-01,-6.2,0.32,-22.03
2014-12-01,10.66,6.45,25.22
2015-01-01,-0.1,-0.3,0.35
2015-02-01,-9.54,-8.66,-15.57
2015-03-01,-9.5,-3.99,-20.9
2015-04-01,28.17,19.24,55.44
2015-05-01,1.1,-6.83,21.33
2015-06-01,-4.94,-1.09,-12.36
2015-07-01,2.7,0.47,6.58
2015-08-01,-1.42,3.45,-9.71
2015-09-01,6.78,0.61,20.2
2015-10-01,-5.29,-2.71,-10.3
2015-11-01,1.52,0.62,1.51
2015-12-01,2.3,9.24,-9.23
2016-01-01,3.23,-5.36,20.66
2016-02-01,-1.8,9.39,-23.64
2016-03-01,-3.28,-3.54,2.14
2016-04-01,-5.78,-0.28,-19.86
2016-05-01,5.82,2.12,17.83
2016-06-01,10.9,4.58,27.68
2016-07-01,-3.34,-1.59,-6.65
2016-08-01,-1.68,0.4,-6.81
2016-09-01,-1.8,-0.81,-6.31
2016-10-01,3.38,3.65,5.32
2016-11-01,16.26,3.13,48.82
2016-12-01,-11.5,-2.28,-27.15
2017-01-01,-1.82,2.33,-10.87
2017-02-01,6.2,-5.82,35.19
2017-03-01,-0.09,4.84,-9.54
2017-04-01,-6.8,-1.92,-19.37
2017-05-01,9.45,4.58,26.86
2017-06-01,5.64,1.25,15.32
2017-07-01,-5.1,3.83,-21.5
2017-08-01,-5.63,-11.3,10.15
2017-09-01,0.54,6.43,-12.85
2017-10-01,7.46,2.64,19.87
2017-11-01,-1.17,-0.86,-4.01
2017-12-01,1.52,4.58,-4.74
2018-01-01,0.67,0.59,1.46
2018-02-01,6.62,1.53,20.46
2018-03-01,-8.31,-3.71,-18.9
2018-04-01,3.64,-6.14,27.43
2018-05-01,3.1,13.59,-15.74
2018-06-01,-3.96,-3.5,-3.85
2018-07-01,-5.12,-5.15,-4.57
2018-08-01,9.74,17.51,-8.98
2018-09-01,-5.94,-10.28,6.25
2018-10-01,-5.48,-1.64,-15.79
2018-11-01,0.8,-4.64,16.54
2018-12-01,-6.9,-3.74,-14.51
2019-01-01,18.42,18.13,22.51
2019-02-01,4.57,-14.25,51.81
2019-03-01,0.69,19.05,-26.79
2019-04-01,-0.38,-2.04,4.07
2019-05-01,-6.65,-2.41,-14.84
2019-06-01,-3.52,-1.57,-11.01
2019-07-01,3.14,3.42,2.75
2019-08-01,8.07,5.41,16.05
2019-09-01,-12.11,-9.11,-18.44
2019-10-01,11.7,9.56,17.31
2019-11-01,-1.78,0.53,-9.64
2019-12-01,3.32,-5.33,32.0
2020-01-01,0.0,-1.1,1.52
2020-02-01,-5.43,5.25,-28.86
2020-03-01,0.0,-6.9,23.08
2020-04-01,-4.53,-1.94,-11.36
2020-05-01,-0.59,-3.02,4.49
2020-06-01,4.68,10.91,-8.28
2020-07-01,6.51,2.59,17.39
2020-08-01,-3.51,-4.11,-2.28
2020-09-01,13.78,2.2,44.31
2020-10-01,-2.92,-0.54,-8.28
2020-11-01,-9.61,0.65,-29.52
2020-12-01,8.96,1.61,29.69
2021-01-01,0.36,10.78,-21.45
2021-02-01,-5.8,-7.63,-1.53
2021-03-01,10.47,2.79,35.2
2021-04-01,-2.23,-1.61,-2.76
2021-05-01,-4.7,-1.23,-13.51
2021-06-01,-4.26,-6.0,-0.27
2021-07-01,6.64,3.85,12.09
2021-08-01,-2.64,1.69,-11.03
2021-09-01,-7.3,-1.67,-22.59
2021-10-01,5.52,2.12,14.23
2021-11-01,7.46,-1.45,36.45
2021-12-01,-4.72,7.26,-30.14
2022-01-01,-3.46,-6.08,2.94
2022-02-01,4.44,8.67,-6.67
2022-03-01,-1.04,-0.87,-2.72
2022-04-01,1.2,-2.62,13.64
2022-05-01,6.18,4.28,15.38
2022-06-01,-4.06,-4.87,-2.13
2022-07-01,3.8,0.6,12.81
2022-08-01,-3.8,2.89,-20.53
2022-09-01,4.83,2.13,14.89
2022-10-01,-2.44,-5.41,1.59
2022-11-01,11.02,10.74,14.32
2022-12-01,-10.05,-9.43,-12.76
2023-01-01,-0.43,3.9,-10.18
2023-02-01,10.5,-2.5,50.58
2023-03-01,-2.67,1.19,-11.39
2023-04-01,-4.68,-5.37,-4.58
2023-05-01,5.47,3.61,10.05
2023-06-01,-2.59,-0.9,-4.15
2023-07-01,-7.65,1.21,-27.49
2023-08-01,0.81,-5.56,19.7
2023-09-01,7.92,5.15,15.21
2023-10-01,-5.23,0.4,-18.4
2023-11-01,4.73,-4.18,27.59
2023-12-01,7.88,8.32,8.32
2024-01-01,-4.76,-13.82,11.9
2024-02-01,11.6,17.93,3.26
2024-03-01,-11.17,-11.71,-12.62
2024-04-01,11.77,20.96,-1.9
2024-05-01,-6.08,-9.28,1.16
2024-06-01,10.89,4.78,21.84
