date,PCE Price Index Period Chg,Core PCE (Less Food & Energy) Period Chg
1977-01-01,0.58,0.61
1977-02-01,0.78,0.61
1977-03-01,0.5,0.42
1977-04-01,0.58,0.49
1977-05-01,0.51,0.51
1977-06-01,0.56,0.6
1977-07-01,0.52,0.62
1977-08-01,0.47,0.49
1977-09-01,0.38,0.42
1977-10-01,0.46,0.48
1977-11-01,0.57,0.52
1977-12-01,0.49,0.52
1978-01-01,0.59,0.6
1978-02-01,0.46,0.39
1978-03-01,0.65,0.54
1978-04-01,0.76,0.65
1978-05-01,0.71,0.59
1978-06-01,0.65,0.56
1978-07-01,0.55,0.59
1978-08-01,0.51,0.54
1978-09-01,0.57,0.58
1978-10-01,0.8,0.73
1978-11-01,0.57,0.54
1978-12-01,0.47,0.39
1979-01-01,0.76,0.51
1979-02-01,0.53,0.33
1979-03-01,0.78,0.57
1979-04-01,1.04,0.92
1979-05-01,1.04,0.87
1979-06-01,0.83,0.56
1979-07-01,0.76,0.5
1979-08-01,0.76,0.66
1979-09-01,0.88,0.68
1979-10-01,0.82,0.73
1979-11-01,0.69,0.64
1979-12-01,0.84,0.72
1980-01-01,1.05,0.76
1980-02-01,1.08,1.0
1980-03-01,1.23,0.93
1980-04-01,0.52,0.51
1980-05-01,0.78,0.81
1980-06-01,0.63,0.66
1980-07-01,0.78,0.7
1980-08-01,0.83,0.72
1980-09-01,0.93,0.94
1980-10-01,0.8,0.82
1980-11-01,0.81,0.79
1980-12-01,0.65,0.6
1981-01-01,0.96,0.87
1981-02-01,1.01,0.73
1981-03-01,0.7,0.56
1981-04-01,0.44,0.64
1981-05-01,0.45,0.69
1981-06-01,0.4,0.5
1981-07-01,0.6,0.6
1981-08-01,0.63,0.67
1981-09-01,0.61,0.66
1981-10-01,0.45,0.6
1981-11-01,0.54,0.58
1981-12-01,0.31,0.37
1982-01-01,0.59,0.61
1982-02-01,0.3,0.39
1982-03-01,0.26,0.44
1982-04-01,0.05,0.4
1982-05-01,0.59,0.54
1982-06-01,0.73,0.5
1982-07-01,0.59,0.65
1982-08-01,0.31,0.46
1982-09-01,0.28,0.37
1982-10-01,0.56,0.63
1982-11-01,0.3,0.37
1982-12-01,0.15,0.32
1983-01-01,0.47,0.68
1983-02-01,0.17,0.37
1983-03-01,0.13,0.13
1983-04-01,0.46,0.3
1983-05-01,0.28,0.14
1983-06-01,0.37,0.47
1983-07-01,0.56,0.67
1983-08-01,0.43,0.52
1983-09-01,0.35,0.4
1983-10-01,0.17,0.18
1983-11-01,0.14,0.23
1983-12-01,0.05,0.07
1984-01-01,0.43,0.33
1984-02-01,0.67,0.63
1984-03-01,0.33,0.38
1984-04-01,0.38,0.47
1984-05-01,0.13,0.23
1984-06-01,0.18,0.24
1984-07-01,0.36,0.43
1984-08-01,0.31,0.33
1984-09-01,0.14,0.15
1984-10-01,0.24,0.22
1984-11-01,0.14,0.21
1984-12-01,0.28,0.4
1985-01-01,0.5,0.56
1985-02-01,0.46,0.52
1985-03-01,0.39,0.35
1985-04-01,0.14,0.12
1985-05-01,0.24,0.34
1985-06-01,0.27,0.33
1985-07-01,0.25,0.29
1985-08-01,0.33,0.49
1985-09-01,0.17,0.21
1985-10-01,0.17,0.16
1985-11-01,0.29,0.25
1985-12-01,0.34,0.27
1986-01-01,0.46,0.54
1986-02-01,0.0,0.26
1986-03-01,-0.22,0.3
1986-04-01,-0.2,0.18
1986-05-01,0.18,0.17
1986-06-01,0.37,0.3
1986-07-01,0.03,0.18
1986-08-01,0.13,0.2
1986-09-01,0.33,0.33
1986-10-01,0.18,0.34
1986-11-01,0.18,0.21
