date,CPI All Urban Consumers Period Chg,CPI Less Food & Energy (Core) Period Chg,CPI Food & Beverages Period Chg,CPI Energy Period Chg,CPI Shelter Period Chg,CPI Medical Care Period Chg,CPI Transportation Period Chg,CPI Apparel Period Chg,CPI Education & Communication Period Chg
1965-04-01,0.22,0.31,,1.33,0.0,0.0,0.31,0.21,
1965-05-01,0.32,0.0,,0.44,0.0,0.4,0.31,0.21,
1965-06-01,0.41,0.0,,0.43,0.0,0.0,-0.31,0.21,
1965-07-01,-0.09,0.0,,-0.43,0.37,0.8,0.0,-0.21,
1965-08-01,-0.09,0.0,,0.0,0.0,0.0,0.0,0.21,
1965-09-01,0.22,0.31,,0.43,0.0,0.0,0.0,0.0,
1965-10-01,0.09,0.0,,-0.43,0.37,0.4,-0.31,0.21,
1965-11-01,0.32,0.3,,0.43,0.37,0.39,0.31,0.21,
1965-12-01,0.31,0.3,,0.0,0.0,0.0,0.31,0.21,
1966-01-01,0.09,0.0,,0.0,0.37,0.39,-0.31,0.42,
1966-02-01,0.63,0.3,,0.43,0.0,0.0,0.31,0.21,
1966-03-01,0.31,0.0,,0.0,0.37,0.78,0.31,0.21,
1966-04-01,0.31,0.6,,0.0,0.73,0.39,0.31,0.41,
1966-05-01,0.22,0.3,,0.0,0.36,0.39,-0.31,0.21,
1966-06-01,0.09,0.3,,0.43,0.72,0.38,0.31,0.2,
1966-07-01,0.22,0.3,,0.43,0.0,0.77,0.93,0.41,
1966-08-01,0.62,0.3,,-0.43,0.0,0.38,0.31,0.0,
1966-09-01,0.31,0.3,,0.43,0.36,1.14,0.0,0.61,
1966-10-01,0.31,0.59,,0.0,0.71,0.75,0.31,0.4,
1966-11-01,0.09,0.0,,0.43,0.0,0.74,0.31,0.2,
1966-12-01,0.12,0.29,,0.0,0.35,0.37,-0.61,0.4,
1967-01-01,-0.06,0.29,,0.43,0.35,0.74,0.0,0.4,
1967-02-01,0.3,0.0,-0.29,0.42,0.35,0.36,0.61,0.4,
1967-03-01,0.0,0.29,0.0,-0.42,-0.35,0.36,0.0,0.2,
1967-04-01,0.3,0.29,-0.29,1.27,0.35,0.72,0.61,0.4,
1967-05-01,0.0,0.29,0.0,0.0,0.35,0.36,0.3,0.2,
1967-06-01,0.6,0.29,0.87,-0.42,0.35,0.72,0.0,0.39,
1967-07-01,0.3,0.29,0.29,0.0,0.35,0.36,0.6,0.39,
1967-08-01,0.3,0.58,0.57,0.42,0.35,0.35,0.3,0.39,
1967-09-01,0.3,0.29,0.0,0.42,0.0,0.71,0.9,0.0,
1967-10-01,0.3,0.29,0.28,-0.42,0.35,0.7,-0.3,0.39,
1967-11-01,0.59,0.28,0.28,0.42,0.34,0.35,0.89,0.19,
1967-12-01,0.29,0.57,0.28,-0.42,0.34,0.69,0.0,0.58,
1968-01-01,0.29,0.28,0.0,0.42,0.34,0.34,0.59,0.39,
1968-02-01,0.29,0.56,0.56,0.42,0.34,0.34,0.29,0.58,
1968-03-01,0.29,0.28,0.28,0.0,0.34,0.68,0.0,0.57,
1968-04-01,0.29,0.28,0.56,-0.41,0.34,0.34,-0.29,0.57,
