date,New Single-Family Homes Sold (SAAR) Period Chg,Median Sales Price - New Homes Period Chg,Average Sales Price - New Homes Period Chg,Months Supply of New Houses Period Chg,New Houses For Sale (SAAR) Period Chg
2002-09-01,2.96,-0.78,-2.71,-2.5,-0.3
2002-10-01,-3.64,6.59,7.43,2.56,0.6
2002-11-01,1.79,-4.23,-1.82,0.0,0.9
2002-12-01,2.34,9.05,4.71,0.0,0.3
2003-01-01,-4.68,-8.05,-3.2,0.0,0.59
2003-02-01,-6.31,2.92,1.39,12.5,0.0
2003-03-01,6.73,-1.02,-0.99,-8.89,-0.88
2003-04-01,1.3,2.38,2.64,0.0,0.59
2003-05-01,6.52,3.17,2.74,-4.88,0.88
2003-06-01,10.67,-3.89,-1.64,-10.26,0.0
2003-07-01,-2.1,1.22,3.63,2.86,-0.29
