date,Median Household Income (current $) Period Chg,Real Median Household Income (2024 $) Period Chg,Average Hourly Earnings (Total Private) Period Chg,Real Disposable Personal Income Per Capita Period Chg
1969-12-01,,,,0.09
1970-01-01,,,,0.45
1970-02-01,,,,0.24
1970-03-01,,,,0.3
1970-04-01,,,,0.95
1970-05-01,,,,-0.51
1970-06-01,,,,0.1
1970-07-01,,,,1.3
1970-08-01,,,,0.2
1970-09-01,,,,-0.23
1970-10-01,,,,-0.44
1970-11-01,,,,-0.26
1970-12-01,,,,0.35
1971-01-01,,,,1.43
1971-02-01,,,,0.04
1971-03-01,,,,0.23
1971-04-01,,,,0.11
1971-05-01,,,,0.31
1971-06-01,,,,2.02
1971-07-01,,,,-1.52
1971-08-01,,,,0.24
1971-09-01,,,,0.48
1971-10-01,,,,0.22
1971-11-01,,,,0.14
1971-12-01,,,,0.42
1972-01-01,,,,-0.58
1972-02-01,,,,0.54
1972-03-01,,,,0.34
1972-04-01,,,,-0.13
1972-05-01,,,,0.66
1972-06-01,,,,0.23
1972-07-01,,,,0.64
1972-08-01,,,,0.83
1972-09-01,,,,0.29
1972-10-01,,,,2.42
1972-11-01,,,,1.03
1972-12-01,,,,0.37
1973-01-01,,,,-0.59
1973-02-01,,,,0.68
1973-03-01,,,,0.29
1973-04-01,,,,0.05
1973-05-01,,,,0.11
1973-06-01,,,,0.22
1973-07-01,,,,0.16
1973-08-01,,,,-0.41
1973-09-01,,,,0.42
1973-10-01,,,,0.8
1973-11-01,,,,0.08
1973-12-01,,,,-0.44
1974-01-01,,,,-0.8
1974-02-01,,,,-0.82
1974-03-01,,,,-0.78
1974-04-01,,,,-0.14
1974-05-01,,,,-0.17
1974-06-01,,,,-0.28
1974-07-01,,,,0.3
1974-08-01,,,,-0.23
1974-09-01,,,,-0.2
1974-10-01,,,,0.24
1974-11-01,,,,-0.61
1974-12-01,,,,-0.06
1975-01-01,,,,-0.12
1975-02-01,,,,0.0
1975-03-01,,,,0.02
1975-04-01,,,,1.75
1975-05-01,,,,5.67
1975-06-01,,,,-3.46
1975-07-01,,,,-1.64
1975-08-01,,,,0.57
1975-09-01,,,,0.16
1975-10-01,,,,0.33
1975-11-01,,,,-0.15
1975-12-01,,,,0.02
1976-01-01,,,,0.58
1976-02-01,,,,0.55
1976-03-01,,,,0.23
1976-04-01,,,,0.06
1976-05-01,,,,-0.07
1976-06-01,,,,0.01
1976-07-01,,,,0.49
1976-08-01,,,,0.11
1976-09-01,,,,-0.07
1976-10-01,,,,-0.26
1976-11-01,,,,0.81
1976-12-01,,,,0.3
1977-01-01,,,,-0.28
1977-02-01,,,,-0.96
1977-03-01,,,,1.32
1977-04-01,,,,0.07
1977-05-01,,,,-0.06
1977-06-01,,,,0.33
1977-07-01,,,,0.55
1977-08-01,,,,0.3
1977-09-01,,,,0.44
1977-10-01,,,,0.63
1977-11-01,,,,0.71
1977-12-01,,,,0.33
1978-01-01,,,,-0.51
1978-02-01,,,,0.53
1978-03-01,,,,0.75
1978-04-01,,,,0.26
1978-05-01,,,,-0.15
1978-06-01,,,,-0.09
1978-07-01,,,,0.41
1978-08-01,,,,0.32
1978-09-01,,,,-0.07
1978-10-01,,,,0.17
1978-11-01,,,,0.0
1978-12-01,,,,0.41
1979-01-01,,,,0.39
1979-02-01,,,,0.33
1979-03-01,,,,0.18
1979-04-01,,,,-0.9
1979-05-01,,,,-0.55
1979-06-01,,,,-0.35
1979-07-01,,,,0.63
1979-08-01,,,,0.03
1979-09-01,,,,-0.19
1979-10-01,,,,-0.15
1979-11-01,,,,0.18
1979-12-01,,,,0.12
1980-01-01,,,,0.61
1980-02-01,,,,-0.62
1980-03-01,,,,-0.71
1980-04-01,,,,-0.19
1980-05-01,,,,-0.47
1980-06-01,,,,0.11
1980-07-01,,,,0.77
1980-08-01,,,,-0.0
1980-09-01,,,,0.32
1980-10-01,,,,0.68
1980-11-01,,,,0.06
1980-12-01,,,,0.38
1981-01-01,,,,-0.47
1981-02-01,,,,-0.38
1981-03-01,,,,0.2
1981-04-01,,,,-0.37
1981-05-01,,,,0.1
1981-06-01,,,,0.45
1981-07-01,,,,1.48
1981-08-01,,,,0.19
1981-09-01,,,,-0.28
1981-10-01,,,,0.02
1981-11-01,,,,-0.03
1981-12-01,,,,-0.21
1982-01-01,,,,0.06
1982-02-01,,,,0.21
1982-03-01,,,,-0.09
1982-04-01,,,,0.93
1982-05-01,,,,-0.49
1982-06-01,,,,-0.62
1982-07-01,,,,0.83
1982-08-01,,,,0.07
1982-09-01,,,,-0.12
1982-10-01,,,,-0.18
1982-11-01,,,,0.33
1982-12-01,,,,0.42
1983-01-01,,,,0.28
1983-02-01,,,,-0.02
1983-03-01,,,,0.41
1983-04-01,,,,0.15
