date,Output Per Hour - Nonfarm Business YoY Chg,Unit Labor Costs - Nonfarm Business YoY Chg
2020-04-01,6.61,736.0
2020-07-01,7.07,39.13
2020-10-01,5.23,-184.21
2021-01-01,6.41,-281.25
2021-04-01,1.69,-96.17
2021-07-01,-0.49,-137.5
2021-10-01,0.89,-171.88
2022-01-01,-1.09,-268.97
2022-04-01,-2.02,-462.5
2022-07-01,-1.38,-108.33
2022-10-01,-1.39,0.0
2023-01-01,0.08,-118.37
2023-04-01,1.83,-237.93
2023-07-01,3.03,2400.0
2023-10-01,3.45,69.57
2024-01-01,3.29,-77.78
2024-04-01,3.22,-7.5
2024-07-01,2.88,-26.0
2024-10-01,2.25,-64.1
2025-01-01,1.95,-550.0
2025-04-01,2.06,13.51
2025-07-01,2.44,40.54
2025-10-01,2.53,28.57
