date,CPI All Urban Consumers YoY %,CPI Less Food & Energy (Core) YoY %,CPI Food & Beverages YoY %,CPI Energy YoY %,CPI Shelter YoY %,CPI Medical Care YoY %,CPI Transportation YoY %,CPI Apparel YoY %,CPI Education & Communication YoY %
1959-01-01,1.2919,2.0478,,-0.9259,0.823,4.4554,4.2705,0.0,
1959-02-01,1.0453,1.7007,,1.4085,0.4098,4.9505,4.2553,0.0,
1959-03-01,0.3464,1.6949,,1.4019,0.8197,4.9261,4.5936,0.0,
1959-04-01,0.1382,1.6949,,1.8692,0.4082,4.4118,4.947,0.2237,
1959-05-01,0.3455,2.0339,,1.3953,0.4065,4.3902,4.5775,0.4474,
1959-06-01,0.6918,2.027,,1.8605,0.8163,4.3689,4.9296,0.4464,
1959-07-01,0.9,2.027,,0.9259,0.8163,3.8647,4.1812,0.8949,
1959-08-01,0.8293,2.027,,0.9217,1.2245,4.3478,3.8194,1.1186,
1959-09-01,1.1761,2.0202,,0.9217,1.2245,3.8278,3.8062,1.7978,
1959-10-01,1.522,2.3569,,2.3041,2.0492,3.3333,4.1522,1.7978,
1959-11-01,1.3817,2.0134,,3.7383,2.0408,3.8095,3.4364,1.3423,
1959-12-01,1.5188,2.0067,,4.2056,2.0408,3.3175,3.0822,1.3423,
1960-01-01,1.241,2.0067,,4.2056,2.0408,3.7915,2.3891,1.1161,
1960-02-01,1.4138,2.3411,,2.7778,2.449,3.7736,2.0408,1.7897,
1960-03-01,1.5188,2.0,,2.765,2.0325,3.7559,1.0135,1.7897,
1960-04-01,1.9324,2.0,,2.7523,2.439,4.2254,0.6734,1.7857,
1960-05-01,1.8251,1.6611,,2.2936,2.0243,3.7383,0.3367,1.7817,
1960-06-01,1.7176,1.6556,,2.2831,2.0243,3.2558,0.0,1.5556,
1960-07-01,1.3722,1.3245,,3.211,2.0243,3.7209,-0.3344,1.5521,
1960-08-01,1.4736,1.3245,,2.7397,2.0161,3.2407,-0.3344,1.3274,
1960-09-01,1.2308,0.9901,,3.1963,2.0161,3.2258,-1.3333,1.3245,
1960-10-01,1.3629,1.3158,,1.3514,2.008,3.2258,-1.6611,1.5453,
1960-11-01,1.4651,1.3158,,2.2523,1.6,3.211,-1.6611,1.3245,
1960-12-01,1.3601,0.6557,,1.3453,1.6,3.6697,-1.3289,1.3245,
1961-01-01,1.6003,0.9836,,1.7937,1.6,3.1963,-1.0,1.5453,
1961-02-01,1.4621,0.6536,,1.8018,1.1952,3.1818,-0.6667,1.0989,
1961-03-01,1.4621,0.9804,,1.3453,1.1952,2.7149,-0.3344,1.0989,
1961-04-01,0.914,0.9804,,-0.8929,0.7937,2.7027,-0.3344,0.6579,
1961-05-01,0.9131,0.9804,,0.4484,0.7937,2.7027,0.6711,0.6565,
1961-06-01,0.7768,0.9772,,0.4464,0.7937,3.1532,1.0067,0.6565,
1961-07-01,1.2521,1.3072,,0.0,1.1905,2.6906,1.6779,0.655,
1961-08-01,1.1145,1.634,,0.0,0.3953,3.139,2.0134,0.655,
1961-09-01,1.2496,1.634,,0.0,0.7905,3.125,3.0405,0.6536,
1961-10-01,0.7731,0.974,,-0.4444,0.3937,3.125,3.0405,0.4348,
1961-11-01,0.6716,1.2987,,-0.8811,0.7874,2.6667,2.7027,0.4357,
1961-12-01,0.6709,1.6287,,-0.885,0.7874,2.6549,2.0202,0.4357,
1962-01-01,0.6702,1.2987,,-1.3216,0.7874,2.6549,2.3569,0.0,
1962-02-01,0.9048,1.2987,,0.0,0.7874,2.6432,2.349,0.2174,
1962-03-01,1.1059,1.2945,,-0.885,0.7874,3.0837,2.349,0.4348,
1962-04-01,1.3418,1.2945,,2.2523,0.7874,2.6316,3.6913,0.6536,
1962-05-01,1.3405,1.6181,,1.3393,1.1811,3.0702,3.0,0.4348,
1962-06-01,1.2399,1.2903,,0.0,1.5748,2.6201,2.6578,0.6522,
1962-07-01,1.0027,1.2903,,-0.8889,1.1765,3.0568,0.9901,0.6508,
1962-08-01,1.1356,1.2862,,-0.4444,1.5748,2.6087,1.3158,0.2169,
1962-09-01,1.4676,1.2862,,0.885,1.1765,2.1645,1.6393,0.8658,
