date,Pending Sales (Redfin),Homes Sold (Redfin),New Listings (Redfin),Active Inventory (Redfin),Months of Supply (Redfin),Median Days on Market (Redfin),Sale-to-List Ratio (Redfin),Price Drop Share (Redfin),Median Sale Price (Redfin),Off Market in Two Weeks (Redfin),Pending Sales SA (Redfin),Homes Sold SA (Redfin),New Listings SA (Redfin),Active Inventory SA (Redfin)
2014-04-30,605528.0,442014.0,726264.0,2014790.0,4.558206815,68.0,0.9750862569,0.08087644127,214459.0,0.2306595409,523472.852444625,427009.07822691,596696.240615282,2021383.83515471
2014-05-31,646426.0,505026.0,752276.0,2087811.0,4.134067631,60.0,0.9765754451,0.09141408149,221117.0,0.222630396,536606.431905087,435417.036875788,598087.193707096,2015051.0401263
2014-06-30,633996.0,540294.0,708289.0,2181107.0,4.036890098,56.0,0.9774382186,0.0880756123,228728.0,0.2049582552,538363.600317598,441834.203757155,595905.77775328,2064844.59248452
2014-07-31,567787.0,532419.0,681379.0,2262509.0,4.249488088,54.0,0.9766061724,0.08647349328,228341.0,0.1931726386,509881.34723016,446159.71272892,585865.707490289,2112662.05226768
2014-08-31,579042.0,513200.0,606538.0,2243754.0,4.372083796,59.0,0.9746233525,0.08682118768,226220.0,0.1644423157,537024.863916984,453080.311798411,582858.917352346,2111941.26717939
2014-09-30,538790.0,468516.0,579206.0,2221299.0,4.741139455,65.0,0.9724745966,0.09622830202,219574.0,0.1598692797,547386.221389721,446933.898135813,581444.633530045,2101574.83107484
2014-10-31,549902.0,479261.0,561102.0,2149720.0,4.485493866,70.0,0.9709296325,0.1079445421,219223.0,0.1523192515,557923.338630342,459840.277761898,577259.20302984,2063670.04166242
2014-11-30,444832.0,377269.0,400992.0,2012187.0,5.333556656,72.0,0.970380043,0.08189085203,219237.0,0.1484574673,549741.018236838,452649.886198037,575403.27781386,2040841.58768141
2014-12-31,428566.0,443841.0,331084.0,1814180.0,4.087455501,76.0,0.9693219966,0.06854799146,221410.0,0.122443721,557577.16105143,457184.870885435,595034.422129485,2023926.60297861
2015-01-31,457521.0,308963.0,506875.0,1827570.0,5.915168883,84.0,0.9671619243,0.0880704029,212120.0,0.1742392856,577837.02053267,454772.826483342,596973.164027557,2013994.35140371
2015-02-28,490815.0,334003.0,527378.0,1848674.0,5.534896083,83.0,0.9699040935,0.07911722956,213890.0,0.2277724487,574561.444397829,461503.726159161,587436.395292,2004086.80580094
2015-03-31,642098.0,456419.0,707076.0,1915210.0,4.196167486,74.0,0.9744515489,0.09294185107,224799.0,0.263087192,587246.39949906,475225.692238054,619341.237810088,2010646.53186719
2015-04-30,691358.0,493852.0,796074.0,2036124.0,4.122941906,61.0,0.977919723,0.1022435708,230645.0,0.2910071376,597455.808353303,474595.926087573,635146.86610953,2034266.36580062
2015-05-31,707323.0,541678.0,779889.0,2129371.0,3.931065425,54.0,0.9799624764,0.1109972724,238197.0,0.2869657602,594756.778219883,484339.433945831,643518.815527456,2060564.52286229
2015-06-30,718348.0,628938.0,758910.0,2159916.0,3.434226076,51.0,0.9812283601,0.1210165619,244678.0,0.2725655331,591337.337032511,490460.250414029,622045.780407887,2048188.14569239
2015-07-31,690562.0,619673.0,726617.0,2172402.0,3.505721573,51.0,0.9803290544,0.1287187774,241662.0,0.2474348733,617478.30667633,504782.294032188,617905.811277083,2019718.29529007
2015-08-31,641548.0,560554.0,647039.0,2143757.0,3.824351303,53.0,0.9786154945,0.1280963231,239070.0,0.2369083869,602784.131441253,503847.289276963,624539.667781648,2016058.17837297
2015-09-30,593001.0,523407.0,607312.0,2100644.0,4.013404627,57.0,0.9765952754,0.132307305,233236.0,0.2245338628,609918.731746621,505511.743332305,610123.250694059,1976040.27294483
2015-10-31,589143.0,495133.0,571963.0,2023564.0,4.086911465,60.0,0.9745548277,0.1349687797,231603.0,0.2136063649,610702.620314674,492716.109256948,599798.37985384,1936448.95039318
2015-11-30,489166.0,392813.0,436190.0,1893669.0,4.820790856,63.0,0.9733526435,0.1078025692,233741.0,0.2050005248,599805.969497616,449727.156305663,611441.849029814,1925085.79554966
2015-12-31,458366.0,489184.0,343290.0,1689118.0,3.45293028,66.0,0.973471813,0.08650843733,236459.0,0.1686003191,615197.052014913,509315.061585208,610898.34145597,1889276.3955259
2016-01-31,482713.0,341772.0,500864.0,1686486.0,4.934536309,72.0,0.9714128501,0.1016609638,226988.0,0.2222250447,615114.241400666,529165.71370994,616561.260262062,1875206.80589034
2016-02-29,566592.0,365390.0,589435.0,1725623.0,4.722686234,73.0,0.9725545066,0.1279109978,226026.0,0.2884167733,628377.189057002,481683.248954942,631303.977311827,1881058.53913992
2016-03-31,719487.0,484843.0,756745.0,1801609.0,3.715857383,64.0,0.9777208969,0.1075980478,238138.0,0.3201630885,639958.589394482,489323.392420012,647150.828621964,1893032.40044692
2016-04-30,752506.0,525375.0,778507.0,1878029.0,3.574643317,52.0,0.9808685897,0.1091293617,243751.0,0.3390531909,645768.702549792,508802.974650193,632695.43547274,1878727.19738408
2016-05-31,763551.0,590177.0,762714.0,1919274.0,3.252029319,47.0,0.9830714267,0.1171308969,251596.0,0.3371087801,628849.265455155,513299.874431687,620543.790861868,1859663.52289676
2016-06-30,771403.0,658387.0,762112.0,1953860.0,2.967644793,45.0,0.9839118508,0.1296154093,258524.0,0.2998057066,648427.328852588,518059.213463805,614590.299991908,1831646.79597975
2016-07-31,676514.0,582685.0,684939.0,1966870.0,3.375526865,45.0,0.9832367543,0.1296113293,255873.0,0.2931594426,620786.921608464,513134.223834063,617384.450815579,1818483.70207944
2016-08-31,679149.0,612860.0,662917.0,1922509.0,3.136948425,48.0,0.9812092515,0.1323466903,254563.0,0.2863466838,613753.160286189,510717.448719592,610754.334979856,1799406.15536717
2016-09-30,593356.0,550811.0,617661.0,1898825.0,3.447324543,50.0,0.9795734366,0.1276995029,251790.0,0.2741537569,614463.154618504,516649.013076203,603251.07714835,1766431.14333889
2016-10-31,562543.0,501389.0,544868.0,1812478.0,3.614913931,53.0,0.9782682837,0.1244926616,250775.0,0.2721593153,597977.850733694,527424.036658537,596950.812628638,1731637.65947229
2016-11-30,504789.0,475626.0,448115.0,1675418.0,3.522554616,54.0,0.9775146275,0.1377678245,253536.0,0.2465944722,605879.307518905,525179.4891494,613457.757660977,1704487.24303829
2016-12-31,436927.0,496868.0,335075.0,1481278.0,2.981229187,59.0,0.9761426058,0.07743340342,253305.0,0.2145786826,605790.233999993,523465.419143646,606028.926953343,1675675.22584334
2017-01-31,498112.0,361287.0,510649.0,1482939.0,4.104601146,63.0,0.9745455106,0.1013804578,244923.0,0.2740810813,617069.009005456,548871.814672858,622195.918265978,1678210.53419634
2017-02-28,548129.0,368906.0,572565.0,1527050.0,4.139396926,63.0,0.9762425254,0.09793067296,245158.0,0.3470144486,627229.136457286,511775.992345875,638210.202928227,1682613.75661696
2017-03-31,702375.0,533256.0,769463.0,1611550.0,3.022095149,54.0,0.9806631167,0.104150186,255763.0,0.3838693718,618704.629856447,526164.717659801,637694.392108349,1694711.4581218
2017-04-30,680369.0,516151.0,729751.0,1680394.0,3.255623032,45.0,0.9843172528,0.1018584306,261676.0,0.4032424312,602810.60768436,534070.678513632,631888.677749466,1688403.6786872
2017-05-31,751146.0,628586.0,805158.0,1741332.0,2.770236925,42.0,0.986432157,0.1140967804,267654.0,0.4007166678,611264.735839983,527777.245057008,640667.239534623,1684060.73289952
2017-06-30,722224.0,690337.0,785619.0,1790940.0,2.594297247,40.0,0.9870931317,0.1240833679,276964.0,0.3686674168,604641.540340024,528617.942985225,626449.770460503,1670099.90049054
2017-07-31,664674.0,589391.0,689866.0,1799369.0,3.052928656,41.0,0.9862621594,0.1290736927,272580.0,0.3441451094,613654.855662365,529430.08009467,624798.454536026,1657227.85311121
2017-08-31,673466.0,627053.0,681470.0,1772529.0,2.826761994,43.0,0.9842280645,0.1358824447,271006.0,0.3260020782,613317.584749174,527173.16472157,616422.278736862,1642003.92674032
2017-09-30,570841.0,533666.0,591101.0,1746580.0,3.272793991,46.0,0.9825144469,0.1285667866,268437.0,0.3008650239,598177.979578082,521766.79953903,596958.863893928,1617788.40652107
2017-10-31,611904.0,525057.0,577152.0,1671132.0,3.182760695,48.0,0.9812468386,0.1327600275,267597.0,0.2946512789,630091.974323896,527872.605977592,615464.96110415,1591627.40581094
2017-11-30,523671.0,493862.0,463089.0,1534425.0,3.106990304,50.0,0.9803938429,0.1094709174,270081.0,0.2731253132,634765.206618118,542084.998232729,621728.826096705,1553896.88202336
2017-12-31,435185.0,497421.0,330392.0,1338701.0,2.691280453,54.0,0.9794013589,0.0747496451,270586.0,0.2441102872,621031.334816599,546141.174429246,624006.071752929,1532940.93650827
2018-01-31,505832.0,363523.0,509750.0,1338659.0,3.682456795,57.0,0.9776917764,0.1035326331,262696.0,0.3001756939,611776.737507382,533687.651784469,609225.872254662,1532561.63581034
2018-02-28,536518.0,375211.0,569580.0,1390395.0,3.705632775,56.0,0.9803833692,0.09977900857,267473.0,0.3737946634,611706.39426123,518355.940237331,636628.244661468,1545389.10293733
2018-03-31,709661.0,516766.0,729852.0,1446859.0,2.799833598,48.0,0.9842482132,0.1108392083,275800.0,0.4179848674,631133.379058156,528612.291717506,637512.462782275,1537352.23826019
2018-04-30,714451.0,539784.0,771585.0,1529290.0,2.833151396,40.0,0.9872935015,0.1164541584,280857.0,0.444549486,621066.723777115,534143.18995594,640017.81392539,1538266.30568395
2018-05-31,744327.0,626846.0,833323.0,1635914.0,2.609755283,37.0,0.9887949628,0.13326848,286065.0,0.4400220551,611266.094561854,530615.06177248,654659.888389637,1572904.50709263
2018-06-30,708623.0,661912.0,779140.0,1704610.0,2.575281894,36.0,0.9889640638,0.1429177745,291719.0,0.4019540493,604963.123257794,529882.811098811,644266.765026675,1589659.37748034
2018-07-31,678362.0,614338.0,716057.0,1722988.0,2.804625081,37.0,0.9872701229,0.1531003929,286768.0,0.3649159027,608576.278923203,530722.225314273,633433.689487396,1586478.92850764
