date,National Home Price Index,Atlanta,Boston,Charlotte,Chicago,Cleveland,Dallas,Denver,Detroit,Las Vegas,Los Angeles,Miami,Minneapolis,New York,Phoenix,Portland,San Diego,San Francisco,Seattle,Tampa,Washington DC
2014-07-01,164.574,116.210556421686,173.15335122711,126.734237799458,127.353606930582,105.104024527342,139.084492524262,152.931441327418,96.222602261391,134.852589609699,222.034492475889,186.110417031305,139.374251286664,174.692167953729,146.235875621076,167.174757104395,201.306470290199,191.656175874136,167.0726630577,160.270947005442,206.970011874438
2014-08-01,165.198,116.649622242681,173.483726575432,126.883039749927,127.516391653342,105.381269997545,140.150917278318,153.938051140179,96.273896910575,135.321119471205,222.110905997663,186.981667589125,139.304780779256,174.86710653335,146.391336604747,167.836753557162,201.251931807495,192.074901633579,167.933099224982,160.793109128953,206.905417842895
2014-09-01,165.889,117.408130740455,174.166272787298,127.99011774314,127.739847831072,105.841829817487,141.18391859195,155.009847956855,96.288767906492,135.983738237403,222.778911309785,188.531736592577,139.56538378464,174.846405085836,146.59126502639,168.662164401907,201.629350250834,193.515968533008,168.765463312148,161.588924547933,206.980180557912
2014-10-01,166.626,118.478840863482,175.024323651556,128.384586774154,128.050184280379,106.109975833163,142.337088040187,156.756762759926,96.804481031955,136.495950794585,224.507660042924,189.95497168318,140.170519465556,174.798728758919,146.870870176066,169.346083846136,202.54922892059,196.156059360568,170.171049788351,163.264315398623,207.801870841328
2014-11-01,167.32,119.729306244684,175.977528366846,128.932475171398,128.33146225035,106.387898376835,143.383800547328,157.876731540565,97.021267022789,137.540295896561,226.337559267771,191.310039991776,140.252301159892,174.639951191613,147.466960437264,170.961150678777,204.569143143334,197.742573372751,170.984936825516,165.141640099267,208.058259388238
2014-12-01,168.035,120.560365646791,176.642029433784,129.582193532919,128.42699577768,106.54090809007,144.222495363448,159.8128909142,97.522008238202,137.85003321449,228.009332328738,192.924136067503,141.123461048677,175.561346471966,148.232728291427,172.32519296315,205.477100860369,199.962390463834,172.641719459592,165.57652156901,208.548970763156
2015-01-01,168.61,120.89577824875,178.246916851235,130.566285379263,129.415509167589,106.925981027065,145.567377513058,161.016754088335,98.235546756639,138.395688704501,228.281146386558,194.454300590262,142.036871852506,176.125540349201,148.871052067366,173.895520240621,207.344835021086,200.412729837812,173.422782121191,165.895393789429,208.705411307413
2015-02-01,169.104,121.560283199904,178.804921948463,131.951604145378,130.291200578299,106.778178931867,146.850481732193,163.659729967951,99.111944288378,138.846243319103,230.319417612745,196.406072197451,143.37711996667,176.857205680123,149.611827262352,175.093252130517,208.218991272792,205.261191419609,174.743399205716,166.853487063669,209.415729936908
2015-03-01,169.776,122.083872711143,178.696024523166,132.143911877787,130.839807776729,107.159314882806,148.495013718835,164.485635135826,100.356566541644,139.940492686202,231.588725163697,197.744029643605,144.637042411489,176.696245626429,150.34323229389,176.18358511702,209.578719431884,208.243648464412,176.030519917448,168.209627980459,209.679606231866
2015-04-01,170.277,122.105612442124,177.185894828046,132.281736425779,130.501191607487,107.226463747777,148.802634094973,166.030691398829,101.007048122175,140.845464087174,233.089922426347,198.839055545919,144.433461506543,177.645600811841,151.00995256566,177.486293446484,209.826574543372,209.410562068982,177.100987160831,168.687037079948,209.700032528735
2015-05-01,170.86,122.422809213861,178.381430041028,132.587983421807,130.153772084836,107.657421859806,149.324910094161,166.77046657287,101.329326069528,141.946335002514,234.191950482931,199.337047688367,144.35717475384,178.213926066163,151.620873879903,178.491167867858,210.443522910263,210.290814347355,177.653773885885,168.915845572651,209.300383030558
2015-06-01,171.457,122.892255289703,179.683865159596,132.843723152484,129.764006158415,107.854334395842,150.002025859638,168.009974400167,101.568902794214,142.389414182185,235.042177967989,199.72967324513,144.47057376698,178.64674291971,152.331975152192,179.965482357601,210.239700130343,210.746466883119,178.454063972335,168.943386816538,209.750862949227
2015-07-01,172.132,123.542078283067,180.965249774008,133.129587217459,129.471610485679,108.20946680977,151.602680736715,168.871549295382,101.437773419929,143.215371170513,235.641411722876,199.982151022824,144.553987584201,178.847112260093,152.982239739232,181.645278872141,212.207097870303,211.887145108221,179.249721844153,169.902212038136,209.849152601792
2015-08-01,172.909,123.920146706775,181.826894735347,133.272247076811,129.37031188157,107.997211873128,152.991060172994,170.714957631938,101.503603549947,143.560058152738,236.233921238924,201.162298733343,144.586924500065,179.122626409615,153.645030713226,183.807802691323,213.418575681001,213.138044739224,180.978813069228,171.002957305806,210.084375494821
2015-09-01,173.801,124.964200499821,182.458246323412,133.544216114148,129.587624246193,107.859997188089,154.223087078471,172.255477840679,101.776251936311,143.881970924769,237.291132401999,203.106134025345,145.203593590457,179.342861859211,154.277662516709,185.941759419062,215.131198161923,215.617732533752,183.101399232371,172.292812548082,210.245309778475
2015-10-01,174.765,125.737070652573,183.652578326794,134.246799366233,130.0014033376,108.102730455184,155.533669292865,174.071552242227,102.027746974768,144.294849842438,238.595857727741,204.922505392948,145.980759947413,179.673580640421,155.208280932696,188.202885459509,215.46505120538,217.881776375806,185.640587020532,173.702222629611,210.466744984886
2015-11-01,175.71,126.360594243801,183.877131109618,135.501470856109,130.898340762911,108.80738120816,156.661293346138,175.283520075675,103.175979519417,144.792943103434,240.119933140895,206.613620179038,147.027324823981,180.303563475581,156.094041487513,190.149892552995,217.356344984469,219.572334066817,187.973955658586,174.861177883516,211.418514891598
2015-12-01,176.515,126.874688285466,184.448608913647,136.463672140615,131.383698912839,109.392875449063,157.788238474837,176.192725799251,104.1627498549,145.979293552468,241.703398809841,206.564583565969,147.860146210524,180.445469580981,157.495454943882,192.034180183422,220.114455960402,220.572476848438,189.715429628331,176.709255981989,211.360821658623
2016-01-01,177.244,127.691499954654,184.552272117722,136.707844165489,131.709348452894,109.986723484109,158.745985949187,177.385060906157,104.900369766563,146.699735009403,243.504243041337,207.432878783963,148.468351959983,180.477418162296,157.776560175505,194.206236762263,221.473274628405,221.372929917793,191.511943742891,177.85170506806,212.105006115297
2016-02-01,177.625,128.684052846956,185.234207474717,137.288997228799,132.035088038311,110.175274250176,159.817492622698,179.192750831446,105.23087977307,147.792989211155,245.245898349866,208.253164525533,148.758412998049,180.778747195074,158.462067774446,195.572022725671,221.039853735556,223.447843119798,193.014297111286,179.351518230091,211.454756498379
2016-03-01,178.143,129.330231917505,186.17518214428,137.581577223226,132.863694777347,109.959929317483,160.802876943134,180.295908169917,105.856722956871,148.261017587125,245.796188809644,209.661205450928,149.688146900556,181.250767661948,158.617792533209,197.44272294044,221.977191401416,224.978714229624,194.420141961588,180.250533492848,211.505216622319
2016-04-01,178.743,129.662140531746,186.901424539205,138.548426466957,133.510482797916,110.117553604262,161.519701918929,181.32627851101,106.093931888114,149.145974790534,246.355355567008,211.184118937073,150.638841311893,182.026912001201,159.140358792947,198.939026760714,222.74432825929,225.215811333509,195.357610514734,181.276303078959,212.401456712168
2016-05-01,179.403,130.100228966339,188.175695965264,139.062926951609,133.996991522279,110.383363160958,162.831507758786,182.424275312687,106.292328273633,150.013989427574,246.724169489977,212.288842839644,151.184317051976,182.178340422196,159.597445269369,200.625374021638,223.664100297304,224.08538644492,196.210437519831,181.894463606281,213.012490726746
2016-06-01,180.068,130.280737963528,188.125084869632,139.677704497452,133.858712486786,110.801052458891,163.597779379892,183.557932505301,106.623044047726,150.552324729018,247.518783974428,213.649263981109,151.586425626279,182.770570449401,160.135372225454,202.555221057138,223.972734536187,224.825574646919,197.943861404957,182.483287637548,213.209235222504
2016-07-01,180.838,130.511584355455,188.771148247935,140.187679352726,133.842934410045,110.794488472621,164.509949704448,185.003072706118,107.325675214827,150.96744524005,248.810284987916,214.341690006779,151.847207179172,183.261504295739,160.945319548229,204.179479877441,224.876590889271,225.272369291492,199.47615358122,183.192037078,213.232059304145
2016-08-01,181.823,130.954834412384,189.600431874666,140.907670649588,133.608000953848,111.102875078457,165.639692871919,186.13127395229,107.819700425042,150.939419577261,250.166535825109,215.622506654576,152.41241348032,183.701574771095,161.574630912499,205.511570739035,225.932290281972,227.87046525405,201.710113279998,184.235060977656,213.72825262212
