date,Median Existing-Home Price / Median Household Income
2018-11-01,4.074
2018-12-01,4.031
2019-01-01,3.63
2019-02-01,3.64
2019-03-01,3.78
2019-04-01,3.886
2019-05-01,4.049
2019-06-01,4.154
2019-07-01,4.082
2019-08-01,4.058
2019-09-01,3.952
2019-10-01,3.946
2019-11-01,3.949
2019-12-01,3.996
2020-01-01,3.916
2020-02-01,3.976
2020-03-01,4.127
2020-04-01,4.217
2020-05-01,4.169
2020-06-01,4.329
2020-07-01,4.493
2020-08-01,4.564
2020-09-01,4.58
2020-10-01,4.602
2020-11-01,4.57
2020-12-01,4.546
2021-01-01,4.289
2021-02-01,4.39
2021-03-01,4.61
2021-04-01,4.812
2021-05-01,4.951
2021-06-01,5.126
2021-07-01,5.079
2021-08-01,5.054
2021-09-01,4.962
2021-10-01,4.983
2021-11-01,5.007
2021-12-01,5.01
2022-01-01,4.697
2022-02-01,4.791
2022-03-01,5.032
2022-04-01,5.245
2022-05-01,5.465
2022-06-01,5.578
2022-07-01,5.414
2022-08-01,5.223
2022-09-01,5.142
2022-10-01,5.079
2022-11-01,4.971
2022-12-01,4.914
2023-01-01,4.481
2023-02-01,4.511
2023-03-01,4.656
2023-04-01,4.786
2023-05-01,4.919
2023-06-01,5.087
2023-07-01,5.032
2023-08-01,5.014
2023-09-01,4.872
2023-10-01,4.858
2023-11-01,4.811
2023-12-01,4.731
2024-01-01,4.522
2024-02-01,4.584
2024-03-01,4.692
2024-04-01,4.856
2024-05-01,4.983
2024-06-01,5.099
2024-07-01,5.033
2024-08-01,4.947
2024-09-01,4.857
2024-10-01,4.858
2024-11-01,4.83
2024-12-01,4.821
2025-01-01,4.698
2025-02-01,4.739
2025-03-01,4.814
2025-04-01,4.944
2025-05-01,5.06
2025-06-01,5.168
2025-07-01,5.084
2025-08-01,5.045
2025-09-01,4.924
2025-10-01,4.955
2025-11-01,4.897
2025-12-01,4.838
2026-01-01,4.718
2026-02-01,4.753
2026-03-01,4.882
2026-04-01,4.989
2026-05-01,5.127
2026-06-01,5.262
2026-07-01,5.185
