date,"Typical Home Value (Zillow ZHVI, SA)","Typical Rent (Zillow ZORI, All Homes + Multifamily)","For-Sale Inventory (Zillow, smoothed)",Sales Count Nowcast (Zillow)
2013-02-28,166297.80026127386,,,245077.0
2013-03-31,167280.62304924603,,,312773.0
2013-04-30,168350.19082342606,,,348924.0
2013-05-31,169600.32830761257,,,401035.0
2013-06-30,170988.94587446383,,,392730.0
2013-07-31,172248.0970295551,,,414602.0
2013-08-31,173475.43831842064,,,410977.0
2013-09-30,174595.957515832,,,348576.0
2013-10-31,175838.61076396122,,,348777.0
2013-11-30,176855.59139424036,,,299167.0
2013-12-31,177786.56626277405,,,309789.0
2014-01-31,178598.93650723758,,,243024.0
2014-02-28,179465.78025944604,,,239592.0
2014-03-31,180340.73212871942,,,297650.0
2014-04-30,181219.0076283598,,,337867.0
2014-05-31,182222.10461238577,,,380873.0
2014-06-30,183111.3568416154,,,404718.0
2014-07-31,183984.77967096804,,,407680.0
2014-08-31,184653.52473704924,,,389026.0
2014-09-30,185280.2464114032,,,359125.0
2014-10-31,185693.51605457198,,,371971.0
2014-11-30,186233.0467204008,,,286750.0
2014-12-31,186892.8980665288,,,332662.0
2015-01-31,187705.32548741283,1136.747271877584,,243561.0
2015-02-28,188513.9906313249,1143.002519961801,,253791.0
2015-03-31,189335.59824693613,1151.5660032685735,,343540.0
2015-04-30,190233.95998780776,1160.2953305985982,,372625.0
2015-05-31,191224.99886775148,1168.9046814771232,,404601.0
2015-06-30,192176.76406051483,1176.3936889542747,,469525.0
2015-07-31,193160.2161062069,1181.9479490751467,,467295.0
2015-08-31,194191.7125686131,1185.4523066427255,,424555.0
2015-09-30,195332.30806428601,1187.2956313159245,,402950.0
2015-10-31,196531.04457780253,1187.6480965078342,,382278.0
2015-11-30,197607.76796401243,1188.0266335315193,,299530.0
2015-12-31,198679.1870556625,1188.4411211680385,,359891.0
2016-01-31,199833.84929098818,1191.4076953433396,,265292.0
2016-02-29,200983.11762744025,1196.0648635327352,,280344.0
2016-03-31,201838.25793483303,1201.930438025665,,366423.0
2016-04-30,202620.12359563741,1209.6819497966783,,392280.0
2016-05-31,203405.80457918276,1217.6567552884808,,437987.0
2016-06-30,204362.83771504866,1225.6687753694703,,493079.0
2016-07-31,205091.1701070778,1230.0269828155292,,435483.0
2016-08-31,205775.93532944765,1232.045080637423,,463019.0
2016-09-30,206526.99697786864,1231.7943972297492,,417805.0
2016-10-31,207473.38476965486,1230.4562208581606,,384184.0
2016-11-30,208521.208035724,1229.2544992577234,,361568.0
2016-12-31,209627.74020056796,1228.6054126468193,,372128.0
2017-01-31,210735.71154019723,1233.009333493094,,290420.0
2017-02-28,211895.34417935825,1240.5395392095793,,284435.0
2017-03-31,213089.31594317764,1251.7091515091095,,403637.0
2017-04-30,214386.6247160765,1261.242338972538,,390107.0
2017-05-31,215541.15526263896,1270.2581990820274,,475202.0
2017-06-30,216623.13438823598,1277.1692615058269,,519939.0
2017-07-31,217545.63383755877,1281.7333588838067,,445867.0
2017-08-31,218491.01561409666,1283.1784793402037,,479541.0
2017-09-30,219475.29219828258,1283.3688595683216,,406795.0
2017-10-31,220598.56245300698,1281.7771021150188,,401490.0
2017-11-30,221809.13424175585,1281.6196930021517,,364892.0
2017-12-31,223076.01914015823,1282.4485191003034,,356249.0
2018-01-31,224329.35882571505,1287.1291325662864,,283021.0
2018-02-28,225546.3630958775,1294.321849409962,,281373.0
2018-03-31,226954.14787181784,1303.5886435277082,1421529.0,383087.0
2018-04-30,228235.99019478366,1312.80924051709,1500195.0,404912.0
2018-05-31,229481.21015166526,1320.685564733399,1592417.0,467620.0
2018-06-30,230384.79249328925,1327.8958261166756,1660618.0,495116.0
2018-07-31,231529.3915673271,1332.9743961667482,1709146.0,461289.0
2018-08-31,232627.02992492318,1335.8917789584384,1733393.0,479421.0
2018-09-30,233737.80807942466,1335.0392080116708,1723102.0,374418.0
2018-10-31,234501.6109464156,1334.3731942053134,1701375.0,401731.0
2018-11-30,235269.27570597487,1335.0046764871224,1642146.0,354363.0
2018-12-31,236089.67652360434,1337.098151394013,1541995.0,321164.0
2019-01-31,237079.2807438889,1340.9979294607604,1452604.0,260257.0
2019-02-28,238227.80968115976,1346.770831349212,1405516.0,277627.0
2019-03-31,239441.4380493447,1356.7103158202458,1449966.0,356878.0
2019-04-30,240523.8724869714,1366.6128308416169,1515571.0,402839.0
2019-05-31,241330.858530989,1376.2459053712068,1604228.0,470507.0
2019-06-30,242040.00706537953,1383.904720037866,1665082.0,454231.0
2019-07-31,242692.91300302805,1389.3464154691876,1693555.0,468315.0
2019-08-31,243410.54039454737,1392.018000669414,1688690.0,462020.0
2019-09-30,244042.63654918116,1391.525652918302,1665421.0,393123.0
2019-10-31,244923.05194723597,1389.973400964217,1634586.0,406380.0
2019-11-30,246121.23147121878,1388.8455186078954,1560531.0,344652.0
2019-12-31,247530.1351342625,1389.9991773834568,1441428.0,360013.0
2020-01-31,249081.4867413252,1394.873015284131,1336187.0,289098.0
2020-02-29,250597.57689308745,1402.7343696614148,1285461.0,290540.0
2020-03-31,252174.78013003408,1411.056812561153,1309043.0,362671.0
2020-04-30,253525.2626608937,1412.4590814489163,1299807.0,315414.0
2020-05-31,254285.42591883012,1412.393169246883,1317974.0,309475.0
2020-06-30,254713.36990969998,1413.3746056539915,1320181.0,432167.0
2020-07-31,255399.77912416498,1418.5984031580385,1345172.0,515112.0
2020-08-31,257044.7274506321,1420.0328856971062,1324973.0,496450.0
2020-09-30,259869.92981231213,1417.519350001727,1283020.0,500544.0
2020-10-31,263320.9209979715,1414.6038417028399,1228208.0,511176.0
2020-11-30,267223.86755396624,1413.0489208491176,1140490.0,435918.0
2020-12-31,271027.7690779223,1415.0554936913445,1028143.0,468488.0
