date,Total Building Permits Period %,Single-Family Permits Period %,2-4 Unit Permits Period %,5+ Unit Permits Period %,Permits - Northeast Period %,Permits - Midwest Period %,Permits - South Period %,Permits - West Period %
1974-01-01,3.3385,1.5038,4.8193,5.3704,7.6142,12.9555,3.8462,-7.4074
1974-02-01,2.1788,7.7037,-1.1494,-3.8664,-2.8302,4.6595,0.5556,6.3333
1974-03-01,5.8824,8.1155,3.4884,3.2907,-2.4272,15.7534,0.1842,11.9122
1974-04-01,-12.9167,-9.1603,-11.236,-18.4071,-11.4428,-26.9231,-10.8456,-3.6415
1974-05-01,-9.2504,-6.5826,-10.1266,-13.2321,-0.5618,1.2146,-14.433,-13.9535
1974-06-01,-4.5694,-1.4993,-9.8592,-8.75,-5.6497,-1.6,-6.988,-3.0405
1974-07-01,-7.7348,-5.4795,-10.9375,-11.2329,-12.5749,-8.5366,-3.6269,-9.7561
1974-08-01,-8.483,-1.1272,-3.5088,-23.4568,-10.274,0.4444,-15.5914,-5.0193
1974-09-01,-8.3969,-5.8632,-23.6364,-11.2903,6.1069,-3.5398,-15.9236,-10.9756
1974-10-01,-1.9048,-3.1142,14.2857,-1.8182,3.5971,-0.4587,-4.1667,-4.1096
1974-11-01,-4.9757,-3.0357,-12.5,-8.3333,-9.0278,-11.0599,-3.9526,2.8571
1974-12-01,10.9834,-1.4733,16.6667,43.9394,36.6412,-2.5907,9.465,9.2593
1975-01-01,-16.4557,-1.4953,-8.1633,-45.9649,-45.8101,1.5957,-11.6541,-13.9831
1975-02-01,0.4132,0.1898,24.4444,-5.8442,15.4639,-7.3298,-5.1064,6.8966
1975-03-01,-2.7435,0.7576,-23.2143,-7.5862,-8.0357,-5.0847,-3.5874,2.765
1975-04-01,22.1439,15.7895,46.5116,39.5522,29.1262,25.5952,31.6279,7.1749
1975-05-01,5.5427,6.6558,-7.9365,6.4171,1.5038,12.7962,-3.8869,12.5523
1975-06-01,3.5011,2.1309,10.3448,6.0302,-6.6667,-1.2605,13.9706,2.2305
1975-07-01,7.8224,3.8748,10.9375,19.4313,10.3175,20.4255,-1.2903,6.1818
1975-08-01,-2.549,4.1607,-12.6761,-18.254,-2.8777,-11.3074,3.268,0.0
1975-09-01,7.0423,5.0964,11.2903,12.6214,9.6296,4.3825,5.6962,9.589
1975-10-01,3.0075,3.0144,21.7391,-2.5862,-6.0811,6.1069,2.0958,5.625
1975-11-01,1.2774,2.4173,-5.9524,0.0,1.4388,2.518,1.7595,-0.2959
1975-12-01,-1.7117,0.6211,-7.5949,-7.9646,-1.4184,0.0,0.5764,-5.638
1976-01-01,9.5325,5.5556,9.589,25.0,-2.1583,-0.3509,7.1633,26.1006
1976-02-01,-0.4184,1.1696,5.0,-7.3077,3.6765,11.9718,2.9412,-13.7157
1976-03-01,-2.1849,-3.1214,-2.381,1.2448,1.4184,-1.5723,-5.1948,-0.8671
1976-04-01,-2.7491,-0.716,-6.0976,-8.6066,-2.7972,-7.9872,-2.1918,1.4577
1976-05-01,5.477,-0.2404,7.7922,26.009,3.5971,3.125,10.9244,2.5862
1976-06-01,-0.5025,1.9277,0.0,-7.8292,-8.3333,3.367,-6.5657,6.1625
1976-07-01,4.798,3.6643,0.0,10.0386,14.3939,-2.2801,4.8649,7.124
1976-08-01,5.1406,0.114,21.6867,15.7895,7.947,5.0,1.8041,7.3892
1976-09-01,13.1398,4.4419,10.8911,36.9697,-2.454,24.127,18.7342,5.9633
1976-10-01,-3.7812,5.4526,-2.6786,-22.7876,2.5157,-6.9054,-10.2345,3.2468
1976-11-01,7.4386,6.4116,5.5046,10.8883,1.8405,0.5495,6.6508,15.304
1976-12-01,-1.3063,-0.0972,-1.7391,-4.3928,2.4096,-4.0984,2.8953,-4.0
1977-01-01,-2.9782,-3.1128,2.6549,-4.3243,-20.0,-7.1225,-1.0823,3.5985
1977-02-01,6.412,9.5382,-1.7241,0.2825,2.9412,7.6687,11.1597,2.5594
1977-03-01,6.4103,4.4913,0.0,14.3662,51.4286,11.9658,1.1811,-3.5651
1977-04-01,0.0,-4.4737,-0.8772,12.8079,-16.5094,6.3613,6.4202,-4.2514
1977-05-01,0.4819,1.6529,0.885,-2.4017,2.2599,-2.6316,1.6453,1.1583
1977-06-01,5.036,1.2647,3.5088,14.7651,32.0442,1.7199,2.6978,0.7634
1977-07-01,-3.71,0.3568,9.322,-15.5945,-30.9623,-0.4831,0.0,2.0833
1977-08-01,5.5127,2.7556,3.876,13.164,6.6667,8.2524,7.3555,1.1132
1977-09-01,-5.9551,-1.6436,-11.194,-14.6939,-2.8409,-14.574,-7.3409,1.6514
1977-10-01,5.0179,1.9349,3.3613,13.8756,19.2982,0.0,7.3944,1.6245
1977-11-01,0.7395,1.4668,15.4472,-4.8319,-18.6275,8.6614,-2.1311,5.5062
1977-12-01,-0.9599,-1.2755,-16.1972,4.6358,9.6386,-2.8986,3.8526,-7.4074
1978-01-01,-0.7982,2.1533,-5.042,-6.962,6.044,-12.6866,4.6774,-0.5455
1978-02-01,-0.2299,-6.2395,9.7345,13.3787,-13.4715,15.6695,-4.4684,-0.7313
1978-03-01,3.629,4.3165,8.0645,1.0,4.1916,0.4926,4.3548,4.9724
1978-04-01,8.2824,10.2586,-4.4776,7.1287,17.2414,1.7157,19.1654,-2.1053
1978-05-01,-9.3429,-7.8968,-1.5625,-14.6026,-9.8039,-6.747,-16.4721,-1.2545
1978-06-01,12.2877,6.4516,34.127,21.2121,4.3478,-0.7752,0.6211,37.7495
1978-07-01,-9.9344,-8.6124,-30.1775,-6.7857,13.5417,3.9062,1.2346,-32.4111
1978-08-01,-5.3191,-2.8796,0.0,-11.8774,-7.3394,-2.7569,-3.2012,-9.1618
1978-09-01,3.5482,3.3243,5.9322,3.4783,0.495,0.7732,2.9921,7.9399
1978-10-01,1.7133,2.7826,4.0,-1.4706,-9.8522,-2.046,4.4343,5.7654
1978-11-01,0.7861,-0.5076,3.0769,3.4115,9.8361,-5.2219,6.1493,-4.8872
1978-12-01,1.2813,6.0374,4.4776,-11.134,5.4726,2.4793,-3.5862,5.7312
1979-01-01,-19.637,-23.0954,-16.4286,-10.6729,-10.3774,-42.7419,-15.4506,-12.7103
1979-02-01,2.1218,-2.5026,-13.6752,18.4416,-13.6842,22.0657,0.3384,1.7131
1979-03-01,15.2815,21.8182,32.6733,-1.9737,-4.2683,23.0769,26.9815,3.1579
1979-04-01,-7.1512,-6.7603,-5.2239,-8.7248,1.2739,-1.875,-17.5299,2.6531
1979-05-01,5.4477,0.4708,0.7874,19.8529,11.3208,8.5987,6.2802,0.5964
1979-06-01,-2.6128,-2.4367,2.3438,-4.2945,2.2599,-3.2258,-3.1818,-3.1621
1979-07-01,-6.4634,-4.9952,-0.7634,-11.3248,-11.0497,-13.0303,-6.2598,-0.6122
1979-08-01,3.7158,0.0,8.4615,11.0843,-5.5901,3.4843,6.8447,3.0801
1979-09-01,2.9541,-2.4267,-4.9645,16.9197,32.2368,2.0202,3.125,-5.5777
