date,PPI Final Demand - Finished Goods Period %,PPI Final Demand - Less Food & Energy Period %
1971-12-01,0.7353,
1972-01-01,-0.2433,
1972-02-01,0.7317,
1972-03-01,0.0,
1972-04-01,0.0,
1972-05-01,0.4843,
1972-06-01,0.4819,
1972-07-01,0.2398,
1972-08-01,0.4785,
1972-09-01,0.4762,
1972-10-01,-0.4739,
1972-11-01,0.7143,
1972-12-01,0.9456,
1973-01-01,0.7026,
1973-02-01,1.1628,
1973-03-01,2.069,
1973-04-01,0.6757,
1973-05-01,0.6711,
1973-06-01,1.1111,
1973-07-01,-0.2198,
1973-08-01,3.5242,
1973-09-01,-0.2128,
1973-10-01,-0.2132,
1973-11-01,0.8547,
1973-12-01,0.8475,
1974-01-01,2.521,
1974-02-01,1.8443,0.6036
1974-03-01,1.006,1.0
1974-04-01,0.996,1.1881
1974-05-01,1.1834,2.1526
1974-06-01,0.0,1.7241
1974-07-01,2.729,1.6949
1974-08-01,1.8975,1.8519
1974-09-01,1.1173,1.2727
1974-10-01,1.8416,1.7953
1974-11-01,1.9892,1.2346
1974-12-01,0.0,0.8711
1975-01-01,0.5319,0.6908
1975-02-01,-0.1764,0.6861
1975-03-01,0.0,0.5111
1975-04-01,0.8834,0.339
1975-05-01,0.5254,0.1689
1975-06-01,0.8711,0.3373
1975-07-01,0.8636,0.5042
1975-08-01,0.8562,0.1672
1975-09-01,0.6791,0.5008
1975-10-01,0.8432,0.6645
1975-11-01,0.3344,0.6601
1975-12-01,0.1667,0.6557
1976-01-01,-0.1664,0.4886
1976-02-01,-0.1667,0.3241
1976-03-01,0.1669,0.4847
1976-04-01,0.5,0.1608
1976-05-01,0.1658,0.1605
1976-06-01,0.1656,0.641
1976-07-01,0.3306,0.4777
1976-08-01,0.3295,0.6339
1976-09-01,0.3284,0.6299
1976-10-01,0.491,0.313
1976-11-01,0.8143,0.78
1976-12-01,0.8078,0.4644
1977-01-01,0.1603,0.3082
1977-02-01,1.12,0.4608
1977-03-01,0.7911,0.4587
1977-04-01,0.471,0.3044
1977-05-01,0.625,0.3035
1977-06-01,0.3106,0.6051
1977-07-01,0.3096,0.4511
1977-08-01,0.6173,0.7485
1977-09-01,0.4601,0.7429
1977-10-01,0.6107,0.59
1977-11-01,0.7587,0.8798
1977-12-01,0.4518,0.2907
1978-01-01,0.4498,0.2899
1978-02-01,0.7463,0.4335
1978-03-01,0.4444,0.5755
1978-04-01,1.1799,1.0014
1978-05-01,0.7289,0.7082
1978-06-01,0.8683,0.8439
1978-07-01,0.8608,0.8368
1978-08-01,0.1422,0.6916
1978-09-01,0.9943,0.9615
1978-10-01,0.4219,-0.1361
1978-11-01,0.8403,0.9537
1978-12-01,1.1111,0.8097
1979-01-01,1.2363,0.8032
1979-02-01,0.9498,0.7968
1979-03-01,0.8065,0.6588
1979-04-01,1.0667,0.7853
1979-05-01,0.5277,0.5195
1979-06-01,0.5249,0.7752
1979-07-01,1.0444,0.641
1979-08-01,1.0336,0.3822
1979-09-01,1.6624,1.1421
1979-10-01,1.1321,0.8783
1979-11-01,1.2438,0.7463
1979-12-01,0.9828,0.8642
1980-01-01,1.4599,1.9584
1980-02-01,1.4388,1.0804
1980-03-01,1.0638,0.5938
1980-04-01,0.8187,0.9445
1980-05-01,0.464,0.2339
1980-06-01,0.8083,1.0502
1980-07-01,1.6037,1.2702
1980-08-01,1.1274,0.7982
1980-09-01,0.4459,0.4525
1980-10-01,0.7769,0.9009
1980-11-01,0.6608,0.558
1980-12-01,0.4376,0.333
1981-01-01,1.0893,1.1062
1981-02-01,0.8621,0.6565
1981-03-01,1.1752,0.6522
1981-04-01,1.056,0.9719
1981-05-01,0.3135,0.5348
1981-06-01,0.5208,0.6383
1981-07-01,0.2073,0.2114
1981-08-01,0.1034,0.5274
1981-09-01,0.4132,0.6296
1981-10-01,0.4115,0.6257
1981-11-01,0.3074,0.5181
1981-12-01,0.4086,0.6186
1982-01-01,0.6104,0.5123
1982-02-01,-0.1011,0.0
1982-03-01,0.0,0.6116
1982-04-01,0.2024,0.304
1982-05-01,0.0,0.404
1982-06-01,0.8081,0.503
1982-07-01,0.4008,0.2002
1982-08-01,0.3992,0.4995
1982-09-01,0.0994,0.1988
1982-10-01,0.2979,0.496
1982-11-01,0.396,0.2962
1982-12-01,0.3945,0.5906
1983-01-01,-0.7859,-0.3914
1983-02-01,0.099,0.3929
1983-03-01,-0.0989,0.2935
1983-04-01,0.099,-0.0976
1983-05-01,0.2967,0.1953
1983-06-01,0.1972,0.1949
1983-07-01,0.0,0.2918
1983-08-01,0.2953,0.388
1983-09-01,0.2944,0.0
1983-10-01,0.0,0.0966
1983-11-01,-0.1957,0.1931
1983-12-01,0.2941,0.289
1984-01-01,0.6843,0.3842
1984-02-01,0.3883,0.1914
1984-03-01,0.3868,0.4776
1984-04-01,0.0963,0.0951
1984-05-01,-0.0962,0.0
1984-06-01,0.0,0.1899
1984-07-01,0.1927,0.1896
1984-08-01,-0.1923,0.1892
1984-09-01,0.0,0.2833
1984-10-01,-0.1927,-0.2825
1984-11-01,0.3861,0.2833
1984-12-01,0.0,0.0942
1985-01-01,0.0,0.5644
1985-02-01,0.0962,0.3742
1985-03-01,0.0,0.2796
1985-04-01,0.4803,0.0
1985-05-01,0.2868,0.1859
1985-06-01,-0.286,0.3711
1985-07-01,0.0956,0.1848
1985-08-01,-0.191,0.0923
1985-09-01,-0.6699,-0.553
1985-10-01,1.0597,0.9268
1985-11-01,0.572,0.1837
1985-12-01,0.4739,0.0
1986-01-01,-0.4717,0.1833
1986-02-01,-1.327,0.183
1986-03-01,-1.2488,0.0913
1986-04-01,-0.4864,0.4562
1986-05-01,0.4888,0.0908
1986-06-01,0.2918,0.2722
1986-07-01,-0.7759,0.181
1986-08-01,0.391,0.0903
1986-09-01,0.1947,-0.0903
1986-10-01,0.5831,0.9937
1986-11-01,-0.0966,0.1789
1986-12-01,0.1934,0.0893
1987-01-01,0.4826,0.3568
1987-02-01,0.2882,-0.1778
1987-03-01,0.0958,0.089
1987-04-01,0.5742,0.4448
1987-05-01,0.0951,0.0886
1987-06-01,0.2852,0.0885
1987-07-01,0.1896,0.1768
1987-08-01,0.1892,0.2648
1987-09-01,0.2833,0.2641
1987-10-01,-0.1883,0.0878
1987-11-01,0.0,0.1754
1987-12-01,-0.1887,0.0876
1988-01-01,0.5671,0.6124
1988-02-01,-0.094,0.2609
1988-03-01,0.2822,0.2602
1988-04-01,0.3752,0.2595
1988-05-01,0.1869,0.2588
1988-06-01,0.2799,0.3442
1988-07-01,0.8372,0.5146
1988-08-01,0.369,0.4266
1988-09-01,0.1838,0.3398
1988-10-01,0.1835,0.254
1988-11-01,0.3663,0.2534
1988-12-01,0.365,0.4212
1989-01-01,1.0,0.5872
1989-02-01,0.7201,0.5004
1989-03-01,0.3575,0.166
1989-04-01,0.7124,0.0829
1989-05-01,0.7958,0.6623
1989-06-01,0.0,0.4934
1989-07-01,-0.1754,-0.0818
1989-08-01,-0.3515,0.4914
1989-09-01,0.5291,0.326
1989-10-01,0.5263,0.3249
1989-11-01,0.1745,0.3239
1989-12-01,0.6098,0.2421
1990-01-01,1.9048,0.2415
1990-02-01,-0.085,0.3213
1990-03-01,-0.085,0.3203
1990-04-01,-0.0851,0.1596
1990-05-01,0.0852,0.3984
1990-06-01,0.0851,0.3175
1990-07-01,0.2551,0.1582
1990-08-01,1.1026,0.3949
1990-09-01,1.2584,0.4721
1990-10-01,0.9942,0.2349
1990-11-01,0.5742,0.3125
1990-12-01,-0.4894,0.1558
1991-01-01,0.4918,0.6998
1991-02-01,-0.6525,0.2317
1991-03-01,-0.4105,0.2311
1991-04-01,0.0,0.2306
1991-05-01,0.2473,0.1534
1991-06-01,-0.1645,0.0766
1991-07-01,-0.2471,0.2295
1991-08-01,0.1652,0.229
1991-09-01,0.1649,0.3808
1991-10-01,0.3292,0.3794
1991-11-01,0.4102,0.1512
1991-12-01,-0.0817,0.0755
1992-01-01,-0.2453,0.3017
1992-02-01,0.2459,0.0752
1992-03-01,0.0818,0.2254
1992-04-01,0.0817,0.2999
1992-05-01,0.3265,0.3737
1992-06-01,0.4068,-0.1489
1992-07-01,-0.081,0.1491
1992-08-01,0.0811,0.0
1992-09-01,0.2431,0.2234
1992-10-01,0.4042,0.2229
1992-11-01,-0.0805,0.1483
1992-12-01,0.0806,0.074
1993-01-01,0.161,0.2959
1993-02-01,0.2412,0.2212
1993-03-01,0.2406,0.1472
1993-04-01,0.56,0.2939
1993-05-01,0.0,0.0733
1993-06-01,-0.3978,-0.1464
1993-07-01,-0.0799,0.1466
1993-08-01,-0.9592,-1.2445
1993-09-01,0.1614,0.0
1993-10-01,0.0806,0.0741
1993-11-01,0.161,0.2222
1993-12-01,0.0,0.2956
1994-01-01,0.3215,0.4422
1994-02-01,0.1603,0.0
1994-03-01,0.08,0.0734
1994-04-01,0.0,0.1466
1994-05-01,0.0,0.2928
1994-06-01,0.0799,0.146
1994-07-01,0.3994,0.0729
1994-08-01,0.3978,0.2185
1994-09-01,-0.2377,0.0727
1994-10-01,-0.3177,-0.2179
1994-11-01,0.4781,0.1456
1994-12-01,0.3965,0.218
1995-01-01,0.237,0.3626
1995-02-01,0.2364,0.2168
1995-03-01,0.1572,0.2163
1995-04-01,0.2355,0.2158
1995-05-01,0.0783,0.2872
1995-06-01,0.0,0.0716
1995-07-01,0.1565,0.2861
1995-08-01,-0.0781,0.0
1995-09-01,0.1564,0.0
1995-10-01,0.2342,0.5706
1995-11-01,0.2336,0.2128
1995-12-01,0.4662,0.1415
1996-01-01,0.3094,0.0
1996-02-01,0.0,0.0707
1996-03-01,0.6168,0.0
1996-04-01,0.3065,0.0
1996-05-01,0.0,0.2825
1996-06-01,0.3056,0.1408
1996-07-01,-0.0762,0.0
1996-08-01,0.3049,0.0703
1996-09-01,0.076,-0.0703
1996-10-01,0.5315,0.0703
1996-11-01,0.0755,-0.1405
1996-12-01,0.3019,0.1407
1997-01-01,0.0752,0.1405
1997-02-01,-0.2256,-0.0702
1997-03-01,-0.0754,0.1404
1997-04-01,-0.6033,0.0
1997-05-01,-0.2276,-0.1403
1997-06-01,-0.1521,0.0
1997-07-01,-0.3046,-0.1404
1997-08-01,0.382,0.0703
1997-09-01,0.1522,0.2108
1997-10-01,0.228,0.0
1997-11-01,-0.2274,-0.1403
1997-12-01,-0.152,-0.0702
1998-01-01,-0.5327,0.0703
1998-02-01,-0.0765,0.1404
1998-03-01,-0.0766,0.4909
1998-04-01,0.1533,0.0698
1998-05-01,-0.153,0.0697
1998-06-01,-0.0766,0.0
1998-07-01,0.2301,0.2091
1998-08-01,-0.2295,0.0
1998-09-01,0.0,0.1391
1998-10-01,0.3834,0.1389
1998-11-01,-0.0764,0.0693
1998-12-01,0.3823,1.0395
1999-01-01,0.3046,-0.1372
1999-02-01,-0.3797,0.0687
1999-03-01,0.2287,0.0
1999-04-01,0.4563,0.0
1999-05-01,0.1514,0.0
1999-06-01,0.0756,0.0686
1999-07-01,0.2266,0.0
1999-08-01,0.6029,-0.0686
1999-09-01,0.7491,0.5491
1999-10-01,-0.0743,0.273
1999-11-01,0.372,0.0
1999-12-01,0.2224,0.0681
2000-01-01,0.0,-0.1361
2000-02-01,1.0355,0.3406
2000-03-01,0.5124,0.0679
2000-04-01,-0.2913,0.0
2000-05-01,0.073,0.2714
2000-06-01,0.8029,0.0
2000-07-01,0.0724,0.203
2000-08-01,-0.2171,0.0675
2000-09-01,0.7977,0.2699
2000-10-01,0.3597,-0.0673
2000-11-01,0.5018,0.1347
2000-12-01,0.214,0.1345
2001-01-01,0.8541,0.403
2001-02-01,0.1411,-0.2007
2001-03-01,-0.4933,0.2011
2001-04-01,0.5666,0.2007
2001-05-01,0.2113,0.2003
2001-06-01,-0.3514,0.0666
2001-07-01,-1.1989,0.1997
2001-08-01,0.4283,0.0
2001-09-01,0.4264,0.1329
2001-10-01,-1.6277,-0.5972
2001-11-01,-0.3597,0.267
2001-12-01,-0.361,0.1332
2002-01-01,-0.2174,-0.266
2002-02-01,0.2179,0.0667
2002-03-01,0.5797,-0.0666
2002-04-01,-0.072,0.2
2002-05-01,-0.2163,-0.0665
2002-06-01,0.289,0.1997
2002-07-01,-0.1441,-0.3322
2002-08-01,0.0722,-0.0667
2002-09-01,0.3605,0.2668
2002-10-01,0.5747,0.1331
2002-11-01,0.0,-0.1329
2002-12-01,-0.2143,-0.5323
2003-01-01,1.0021,0.2007
2003-02-01,1.1339,0.0668
2003-03-01,0.911,0.5337
2003-04-01,-1.25,-0.5309
2003-05-01,-0.211,0.1334
2003-06-01,0.5638,0.0
2003-07-01,0.0701,0.1332
2003-08-01,0.6303,0.1331
2003-09-01,0.2088,-0.0664
2003-10-01,0.5556,0.4654
2003-11-01,-0.1381,-0.0662
2003-12-01,0.3458,0.0
2004-01-01,0.5513,0.2649
2004-02-01,-0.0685,-0.0661
2004-03-01,0.2743,0.3305
2004-04-01,0.684,0.0659
2004-05-01,0.8152,0.2633
2004-06-01,0.0,0.3283
2004-07-01,-0.1348,-0.1963
2004-08-01,0.2699,0.2623
2004-09-01,0.1346,0.1962
2004-10-01,1.6129,0.3264
2004-11-01,0.5952,0.2602
2004-12-01,-0.4602,0.2596
2005-01-01,0.3303,0.5825
2005-02-01,0.5267,-0.0644
2005-03-01,0.6549,0.1932
2005-04-01,0.3253,0.2571
2005-05-01,-0.1946,0.2564
2005-06-01,0.0,-0.1279
2005-07-01,0.7147,0.3841
2005-08-01,0.8387,0.0638
2005-09-01,1.5995,0.1275
2005-10-01,1.0705,-0.191
2005-11-01,-1.1215,0.0
2005-12-01,0.5671,0.0
2006-01-01,0.5639,0.4464
2006-02-01,-1.1215,0.3175
2006-03-01,0.3781,0.2532
2006-04-01,0.8161,0.0631
2006-05-01,0.0,0.2524
2006-06-01,0.4981,0.0629
2006-07-01,-0.2478,-0.566
2006-08-01,0.6832,0.3795
2006-09-01,-1.1721,0.3151
2006-10-01,-0.9363,-0.4397
2006-11-01,0.8192,0.8833
2006-12-01,0.6875,0.0625
2007-01-01,-0.1241,0.125
2007-02-01,1.1187,0.437
2007-03-01,0.8605,0.0
2007-04-01,0.7313,0.0622
2007-05-01,0.4235,0.2484
2007-06-01,0.0602,0.1859
2007-07-01,0.6623,0.2474
2007-08-01,-0.7177,0.1234
2007-09-01,0.9639,0.0
2007-10-01,1.0143,0.3697
2007-11-01,1.8311,0.3069
2007-12-01,-0.406,0.0
2008-01-01,0.9319,0.4284
2008-02-01,0.3462,0.4266
2008-03-01,0.8626,0.182
2008-04-01,0.2851,0.424
2008-05-01,1.4213,0.3016
2008-06-01,1.5695,0.1804
2008-07-01,1.2141,0.4802
2008-08-01,-0.7634,0.4182
2008-09-01,0.3846,0.4759
2008-10-01,-2.4083,0.9473
2008-11-01,-3.0286,-0.0587
2008-12-01,-1.8508,0.2347
2009-01-01,0.6482,0.0
2009-02-01,-0.1171,0.0585
2009-03-01,-0.8792,0.1755
2009-04-01,0.5322,0.0584
2009-05-01,0.1765,-0.0584
2009-06-01,1.879,0.3505
2009-07-01,-1.1527,-0.2328
2009-08-01,1.3994,0.2334
2009-09-01,-0.23,-0.1164
2009-10-01,0.4611,-0.0583
2009-11-01,1.3196,0.3499
2009-12-01,0.2831,0.0
2010-01-01,1.0164,0.2324
2010-02-01,-0.6708,0.058
2010-03-01,0.6753,0.1738
2010-04-01,0.0,0.0
2010-05-01,0.0,0.2892
2010-06-01,-0.3354,0.1153
2010-07-01,0.1122,0.0576
2010-08-01,0.5602,0.1151
2010-09-01,0.3343,0.23
2010-10-01,0.8329,0.0
2010-11-01,0.4405,0.0
2010-12-01,0.8772,0.1721
2011-01-01,0.7609,0.4009
2011-02-01,1.0787,0.2282
2011-03-01,0.7471,0.2846
2011-04-01,0.9004,0.3405
2011-05-01,0.5249,0.1131
2011-06-01,-0.3655,0.339
2011-07-01,0.4193,0.3378
2011-08-01,-0.261,0.1684
2011-09-01,0.8896,0.2801
2011-10-01,-0.2075,0.2235
2011-11-01,0.2599,0.1115
2011-12-01,-0.1037,0.2227
2012-01-01,0.3633,0.3889
2012-02-01,0.2585,0.166
2012-03-01,0.1031,0.1657
2012-04-01,-0.0515,0.1655
2012-05-01,-0.567,0.1101
2012-06-01,-0.4147,0.165
2012-07-01,0.1562,0.4393
2012-08-01,1.1954,0.164
2012-09-01,0.9245,0.0
2012-10-01,0.1018,0.0546
2012-11-01,-0.5084,0.2182
2012-12-01,-0.2044,0.0
2013-01-01,0.5632,0.1089
2013-02-01,0.611,0.1631
2013-03-01,-0.5567,0.1086
2013-04-01,-0.6107,0.1085
2013-05-01,0.4096,0.1083
2013-06-01,0.051,0.1082
2013-07-01,-0.1019,0.1081
2013-08-01,0.5102,0.054
2013-09-01,-0.2538,0.054
2013-10-01,0.2036,0.1079
2013-11-01,0.3047,0.1616
2013-12-01,0.4051,0.4303
2014-01-01,0.7564,0.4285
2014-02-01,0.2002,0.1067
2014-03-01,0.2997,0.0
2014-04-01,0.4482,0.1066
2014-05-01,-0.3471,0.1597
2014-06-01,0.2488,0.1594
2014-07-01,0.0,0.1061
2014-08-01,-0.0496,0.159
2014-09-01,-0.2979,0.1058
2014-10-01,-0.2988,0.2643
2014-11-01,-0.3497,0.0
2014-12-01,-1.3534,0.0527
2015-01-01,-1.7785,0.4742
2015-02-01,0.1035,0.2622
2015-03-01,0.3618,0.1046
2015-04-01,-0.6694,0.0522
2015-05-01,1.1405,0.1567
2015-06-01,0.5638,0.4692
2015-07-01,-0.1019,0.1557
2015-08-01,-0.3571,0.0
2015-09-01,-1.2289,0.1036
2015-10-01,-0.2592,-0.0518
2015-11-01,0.104,0.0518
2015-12-01,-0.675,0.1035
2016-01-01,-0.2614,0.2585
2016-02-01,-0.7338,0.1031
2016-03-01,0.2112,0.103
2016-04-01,0.3161,0.1544
2016-05-01,0.3676,0.1028
2016-06-01,0.6803,0.308
2016-07-01,0.0,0.0
2016-08-01,-0.3119,0.1024
2016-09-01,0.4171,0.1022
2016-10-01,0.5711,0.1532
2016-11-01,-0.2065,0.102
2016-12-01,0.8795,0.2038
2017-01-01,0.8205,0.2542
2017-02-01,0.3052,0.1014
2017-03-01,-0.0507,0.2533
2017-04-01,0.5074,0.3032
2017-05-01,-1.0096,0.0
2017-06-01,0.051,0.1511
2017-07-01,0.051,0.0503
2017-08-01,0.5604,0.1006
2017-09-01,0.8105,-0.0502
2017-10-01,0.3015,0.5025
2017-11-01,0.8517,0.25
2017-12-01,0.2484,0.0499
2018-01-01,0.1982,0.1994
2018-02-01,0.2967,0.199
2018-03-01,0.0,0.2483
2018-04-01,0.0,0.1981
2018-05-01,0.4931,0.1483
2018-06-01,0.0981,0.1974
2018-07-01,0.1961,0.2956
2018-08-01,0.0978,0.2456
2018-09-01,0.3421,0.147
