date,Total Residential Construction Spending Period %,Private Residential Construction Spending Period %
2015-06-01,2.09,2.55
2015-07-01,1.47,1.4
2015-08-01,-0.08,-0.05
2015-09-01,1.93,1.91
2015-10-01,0.04,0.05
2015-11-01,-0.28,-0.28
2015-12-01,1.26,1.33
2016-01-01,0.75,0.78
2016-02-01,1.29,1.31
2016-03-01,1.53,1.55
2016-04-01,-0.25,-0.26
2016-05-01,0.12,0.11
2016-06-01,1.18,1.21
2016-07-01,0.48,0.5
2016-08-01,0.94,0.87
2016-09-01,0.34,0.39
2016-10-01,2.93,2.78
2016-11-01,1.56,1.66
2016-12-01,1.5,1.53
2017-01-01,-0.13,-0.07
2017-02-01,3.89,3.9
2017-03-01,-0.74,-0.8
2017-04-01,0.95,1.12
2017-05-01,0.59,0.47
2017-06-01,-0.06,-0.04
2017-07-01,0.94,0.99
2017-08-01,0.08,0.1
2017-09-01,0.5,0.45
2017-10-01,-1.05,-1.01
2017-11-01,4.35,4.33
2017-12-01,0.67,0.67
2018-01-01,1.14,1.23
2018-02-01,0.76,0.75
2018-03-01,-0.91,-0.9
2018-04-01,0.13,0.1
2018-05-01,0.71,0.72
2018-06-01,-1.52,-1.44
2018-07-01,-1.58,-1.68
2018-08-01,-1.79,-1.76
2018-09-01,0.29,0.38
2018-10-01,-1.81,-1.84
2018-11-01,-0.32,-0.31
2018-12-01,-3.75,-3.76
2019-01-01,-0.1,-0.14
2019-02-01,-0.28,-0.32
2019-03-01,0.1,0.1
2019-04-01,0.92,0.84
2019-05-01,1.38,1.47
2019-06-01,2.24,2.17
2019-07-01,2.17,2.19
2019-08-01,1.33,1.25
2019-09-01,0.94,0.86
2019-10-01,1.15,1.14
2019-11-01,1.73,1.74
2019-12-01,1.02,0.96
2020-01-01,2.11,1.95
2020-02-01,1.46,1.53
2020-03-01,1.37,1.39
2020-04-01,-3.37,-3.36
2020-05-01,-1.56,-1.66
2020-06-01,0.93,0.87
2020-07-01,3.51,3.52
2020-08-01,4.96,5.04
2020-09-01,3.49,3.51
2020-10-01,3.34,3.42
2020-11-01,2.58,2.55
2020-12-01,3.01,3.11
2021-01-01,2.81,2.83
2021-02-01,-1.37,-1.38
2021-03-01,2.51,2.51
2021-04-01,1.51,1.59
2021-05-01,1.79,1.81
2021-06-01,1.32,1.33
2021-07-01,2.06,2.11
2021-08-01,0.55,0.53
2021-09-01,1.24,1.28
2021-10-01,1.37,1.36
2021-11-01,2.86,2.87
2021-12-01,3.27,3.32
2022-01-01,3.11,3.13
2022-02-01,2.25,2.27
2022-03-01,2.05,2.12
2022-04-01,1.11,1.12
2022-05-01,1.41,1.41
2022-06-01,-2.42,-2.45
2022-07-01,-2.29,-2.37
2022-08-01,-1.68,-1.66
2022-09-01,-1.84,-1.85
2022-10-01,-1.2,-1.21
2022-11-01,-1.74,-1.82
2022-12-01,-1.31,-1.34
2023-01-01,-0.87,-0.87
2023-02-01,-0.46,-0.45
2023-03-01,-0.73,-0.72
2023-04-01,0.09,0.02
2023-05-01,1.99,2.01
2023-06-01,0.84,0.84
2023-07-01,1.66,1.64
2023-08-01,0.04,0.04
2023-09-01,0.44,0.46
2023-10-01,0.01,-0.02
2023-11-01,0.53,0.57
2023-12-01,0.29,0.27
2024-01-01,0.91,0.91
2024-02-01,1.43,1.43
2024-03-01,-0.68,-0.71
2024-04-01,3.0,3.08
2024-05-01,1.78,1.79
2024-06-01,-1.18,-1.18
2024-07-01,-0.58,-0.51
2024-08-01,-0.33,-0.37
2024-09-01,-0.58,-0.6
2024-10-01,-0.09,-0.12
2024-11-01,-0.21,-0.22
2024-12-01,0.44,0.45
2025-01-01,-1.72,-1.76
2025-02-01,-0.32,-0.35
2025-03-01,-1.19,-1.23
2025-04-01,-0.35,-0.36
2025-05-01,-0.29,-0.31
2025-06-01,1.07,1.1
2025-07-01,0.66,0.62
2025-08-01,0.96,0.92
2025-09-01,-1.38,-1.38
2025-10-01,-0.05,-0.05
2025-11-01,1.6,1.63
2025-12-01,2.44,2.52
2026-01-01,-0.76,-0.77
