date,Total Housing Completions Period %,Single-Family Completions Period %,5+ Unit Completions Period %
1983-01-01,13.3715,18.1126,-1.5773
1983-02-01,-4.3808,-7.9897,9.2949
1983-03-01,2.9075,10.3641,-13.4897
1983-04-01,2.4829,3.6802,1.6949
1983-05-01,8.6048,4.7736,14.0
1983-06-01,3.3846,7.8271,-7.3099
1983-07-01,4.9107,5.2004,9.4637
1983-08-01,21.3475,6.3852,70.0288
1983-09-01,-12.7411,-4.6467,-30.1695
1983-10-01,6.2291,6.4975,6.3107
1983-11-01,-7.8184,-4.3851,-17.8082
1983-12-01,3.2148,0.4985,16.1111
1984-01-01,5.6991,0.5952,17.7033
1984-02-01,-2.069,2.1696,-12.1951
1984-03-01,2.4328,-0.3861,11.8056
1984-04-01,5.1875,-4.2636,17.1843
1984-05-01,2.9115,8.2996,-6.7138
1984-06-01,-1.0393,-2.7103,6.4394
1984-07-01,-1.2835,2.2094,-9.9644
1984-08-01,-0.4137,-2.2556,0.1976
1984-09-01,-2.5519,-0.8654,-0.1972
1984-10-01,-0.5481,-5.2376,7.3123
1984-11-01,-1.3472,3.8895,-10.3131
1984-12-01,1.1173,-2.7586,9.0349
1985-01-01,1.0436,8.4093,-13.5593
1985-02-01,7.6549,1.9626,22.658
1985-03-01,-3.2167,-5.0412,0.1776
1985-04-01,-4.9563,4.0541,-19.6809
1985-05-01,2.1472,-3.8033,21.1921
1985-06-01,7.5676,3.6644,11.4754
1985-07-01,-5.4718,-2.5116,-10.4575
1985-08-01,-0.4725,-1.6221,3.2847
1985-09-01,7.181,7.8565,4.947
1985-10-01,-13.3444,-3.5072,-30.9764
1985-11-01,11.7572,1.9571,39.2683
1985-12-01,-0.972,2.3766,-8.7566
1986-01-01,-0.5196,-6.6964,10.5566
1986-02-01,1.7411,2.1053,-0.1736
1986-03-01,0.1711,5.717,-9.0435
1986-04-01,-4.0433,0.8865,-13.3843
1986-05-01,8.7834,0.6151,35.9823
1986-06-01,-8.7834,-6.5502,-15.4221
1986-07-01,2.9904,0.0,9.405
1986-08-01,2.381,5.7009,-0.8772
1986-09-01,-1.7584,-1.5915,-3.7168
1986-10-01,2.8868,5.1213,-1.4706
1986-11-01,0.6173,-1.453,2.0522
1986-12-01,2.6213,0.954,7.3126
1987-01-01,1.1957,0.0859,4.9404
1987-02-01,-4.8872,-1.8026,-10.7143
1987-03-01,-4.3478,0.2622,-8.3636
1987-04-01,2.4203,0.8718,0.9921
1987-05-01,-1.268,0.6914,-5.6974
1987-06-01,-4.5534,-4.5494,-11.25
1987-07-01,3.0581,1.3489,14.554
1987-08-01,-3.6202,-4.7028,-1.4344
1987-09-01,-2.2783,3.2588,-15.1767
1987-10-01,-0.6301,0.8115,-7.598
1987-11-01,0.0634,-2.9517,12.2016
1987-12-01,3.4221,2.3963,8.0378
1988-01-01,-4.7794,-1.6202,-12.9103
1988-02-01,-6.6924,-6.4959,-5.5276
1988-03-01,10.3448,7.4364,14.8936
1988-04-01,0.9375,-5.0091,15.7407
1988-05-01,-8.1734,4.4104,-33.0
1988-06-01,1.9555,1.1938,8.3582
1988-07-01,0.9921,-1.8149,8.8154
