date,CPI - New York Period %,CPI - Philadelphia Period %,CPI - Boston Period %,CPI - Chicago Period %,CPI - Detroit Period %,CPI - Dallas Period %,CPI - Houston Period %,CPI - Atlanta Period %,CPI - Miami Period %,CPI - San Francisco Period %,CPI - Seattle Period %,CPI - West Region (Size Class A) Period %
1942-07-01,0.5988,1.1976,1.8293,0.0,0.0,,1.3245,,,0.0,0.6452,
1942-08-01,0.5952,0.0,-0.5988,0.625,-0.5988,,0.6536,,,1.3423,1.2821,
1942-09-01,0.0,0.5917,1.2048,0.0,0.6024,,0.6494,1.2579,,0.6623,1.2658,
1942-10-01,1.1834,0.5882,1.1905,1.2422,1.1976,,0.0,,,0.6579,0.625,
1942-11-01,1.1696,0.5848,0.5882,0.6135,0.5917,,0.0,,,1.9608,0.6211,
1942-12-01,0.578,1.1628,0.0,0.0,0.5882,,0.6452,1.8634,,0.0,1.2346,
1943-01-01,0.5747,0.0,0.0,0.0,0.0,,0.641,,,0.641,0.0,
1943-02-01,0.0,0.0,0.0,0.6098,0.5848,,0.6369,,,0.0,0.0,
1943-03-01,1.7143,1.1494,1.7544,1.8182,1.7442,,2.5316,3.0488,,1.2739,1.2195,
1943-04-01,0.5618,2.2727,0.5747,0.5952,0.5714,,0.0,,,1.8868,0.6024,
1943-05-01,1.1173,0.5556,0.5714,1.1834,1.7045,,0.6173,,,0.0,1.1976,
1943-06-01,0.0,-0.5525,-0.5682,-0.5848,0.0,,-1.227,1.7751,,0.0,-0.5917,
1943-07-01,0.0,-1.1111,-1.1429,-1.1765,-0.5587,,-0.6211,,,-2.4691,-1.7857,
1943-08-01,-1.105,0.0,0.0,0.5952,-1.6854,,-0.625,,,-0.6329,-0.6061,
1943-09-01,1.1173,0.0,0.0,0.5917,0.0,,1.2579,-0.5814,,0.6369,1.8293,
1943-10-01,0.5525,0.5618,1.1561,0.0,0.5714,,0.0,,,1.2658,0.5988,
1943-11-01,0.0,0.0,-0.5714,-0.5882,-0.5682,,0.0,,,0.625,0.0,
1943-12-01,0.0,0.0,0.0,0.0,1.1429,,0.0,0.0,,0.0,0.0,
1944-01-01,0.0,0.0,0.0,-0.5917,-0.565,,0.0,,,0.0,0.0,
1944-02-01,-0.5495,0.0,-0.5747,0.0,-0.5682,,0.0,,,-0.6211,-0.5952,
1944-03-01,0.5525,-0.5587,0.0,0.0,0.0,,-0.6211,-0.5848,,0.625,0.5988,
1944-04-01,0.5495,0.5618,1.1561,1.1905,1.1429,,0.625,,,0.6211,0.0,
1944-05-01,0.5464,0.5587,0.0,0.0,0.0,,0.6211,,,1.2346,0.5952,
1944-06-01,0.0,0.5556,0.0,0.5882,0.565,,0.0,1.7647,,-0.6098,0.0,
1944-07-01,0.5435,0.0,0.5714,1.1696,1.1236,,0.6173,,,0.6135,0.5917,
1944-08-01,0.0,0.5525,0.5682,0.0,0.0,,0.0,,,0.0,0.0,
1944-09-01,0.0,0.0,0.565,0.0,0.0,,0.0,1.1561,,0.0,0.0,
1944-10-01,0.0,-0.5495,-1.1236,0.0,-0.5556,,0.0,,,1.2195,0.5882,
1944-11-01,0.5405,0.0,0.5682,0.0,0.0,,-0.6135,,,0.0,0.0,
1944-12-01,0.0,0.5525,0.565,0.0,0.5587,,0.6173,1.1429,,1.2048,0.5848,
1945-01-01,0.0,0.5495,0.0,0.0,0.0,,0.6135,,,-0.5952,0.0,
1945-02-01,0.0,0.5464,0.0,0.0,0.0,,-0.6098,,,-0.5988,-0.5814,
1945-03-01,-0.5376,-0.5435,-0.5618,0.0,0.0,,0.0,0.0,,0.6024,0.5848,
1945-04-01,0.5405,0.0,0.0,0.0,0.0,,0.6135,,,0.5988,0.0,
1945-05-01,0.5376,1.0929,0.565,1.7341,1.1111,,0.6098,,,-0.5952,0.5814,
1945-06-01,1.0695,0.5405,1.6854,0.0,1.0989,,0.6061,1.1299,,0.5988,0.0,
1945-07-01,1.0582,0.5376,0.0,0.0,0.0,,0.6024,,,0.5952,0.578,
1945-08-01,-0.5236,0.0,0.0,0.0,0.5435,,0.0,,,-0.5917,0.0,
1945-09-01,-0.5263,-0.5348,-0.5525,-0.5682,-0.5405,,0.0,1.1173,,0.0,0.0,
1945-10-01,0.0,0.0,-0.5556,0.0,0.0,,-0.5988,,,0.0,-0.5747,
1945-11-01,0.5291,0.0,0.5587,0.0,0.5435,,0.0,,,1.1905,0.578,
1945-12-01,0.5263,0.5376,0.0,0.5714,0.0,,0.6024,0.0,,1.1765,1.1494,
1946-01-01,0.5236,0.0,0.5556,0.0,0.5405,,-0.5988,,,-1.1628,-0.5682,
1946-02-01,0.0,0.0,-0.5525,0.0,0.0,,0.0,,,-1.1765,0.0,
1946-03-01,0.5208,0.5348,0.5556,0.0,0.0,,0.6024,0.0,,0.5952,0.5714,
1946-04-01,1.0363,0.5319,0.5525,1.1364,1.0753,,0.5988,,,0.0,0.0,
1946-05-01,0.5128,0.5291,0.0,0.5618,1.0638,,0.0,,,0.5917,0.5682,
1946-06-01,1.0204,1.0526,1.0989,0.5587,1.0526,,1.7857,1.6575,,2.3529,1.1299,
1946-07-01,6.0606,5.7292,7.6087,7.7778,6.25,,4.6784,,,4.5977,4.4693,
1946-08-01,1.4286,2.9557,2.0202,2.0619,0.4902,,2.7933,,,2.7473,1.6043,
1946-09-01,2.3474,1.4354,0.9901,1.0101,0.9756,,1.6304,9.7826,,2.139,2.1053,
1946-10-01,2.2936,1.4151,1.9608,3.0,1.4493,,1.0695,,,1.5707,2.5773,
1946-11-01,0.8969,1.8605,1.4423,1.9417,1.9048,,4.2328,,,3.6082,2.0101,
1946-12-01,0.8889,1.3699,0.9479,0.4762,0.9346,,1.5228,5.9406,,0.995,1.4778,
1947-01-01,-0.4405,-0.4505,0.4695,0.0,0.0,,1.0,,,-0.9852,-0.9709,
1947-02-01,-0.4425,-0.4525,-0.4673,-0.4739,0.0,,0.0,,,-0.4975,-0.4902,
1947-03-01,2.2222,3.1818,1.8779,2.381,2.3148,,1.9802,3.7383,,1.5,1.9704,
1947-04-01,-0.4348,-0.8811,-0.9217,-0.4651,0.0,,0.9709,,,0.4926,0.4831,
1947-05-01,-0.8734,0.0,-0.4651,0.4673,0.0,,-0.4808,,,-0.4902,0.0,
1947-06-01,0.8811,1.3333,1.4019,1.3953,1.3575,,0.0,-1.3514,,-0.9852,-0.4808,
1947-07-01,0.4367,0.8772,0.9217,0.9174,0.8929,,0.4831,,,,,
1947-08-01,0.8696,0.8696,1.8265,1.8182,1.7699,,0.9615,1.8265,,,2.4155,
