date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
2012-06-01,6.92,1.16,-40.0,28.0,3.9,-11.01,1.65,32.7
2012-07-01,-2.25,-1.34,22.22,-5.36,8.75,17.53,-5.15,-10.43
2012-08-01,1.89,3.68,-27.27,-0.94,-12.64,14.91,8.29,-11.11
2012-09-01,12.33,10.82,0.0,16.67,2.63,9.92,11.61,20.24
2012-10-01,8.03,2.86,137.5,16.33,0.0,11.81,5.2,14.36
2012-11-01,-8.96,-6.87,-47.37,-10.88,-14.1,-3.11,-0.22,-28.14
2012-12-01,17.17,8.08,70.0,35.43,74.63,20.51,3.15,28.31
2013-01-01,-9.02,-1.79,-35.29,-20.64,-26.5,-50.53,6.11,4.69
2013-02-01,8.33,7.78,-9.09,10.26,23.26,46.24,2.47,-0.45
2013-03-01,4.99,-4.15,160.0,19.6,-9.43,3.68,11.45,-1.8
2013-04-01,-17.33,-5.93,-46.15,-35.0,-17.71,4.96,-26.49,-8.26
2013-05-01,11.38,3.58,-21.43,32.91,30.38,-6.08,18.14,3.0
2013-06-01,-9.78,0.99,0.0,-31.19,-16.5,-11.51,-11.83,-0.49
2013-07-01,4.89,-3.42,63.64,25.7,27.91,29.27,-6.82,4.88
2013-08-01,4.2,6.41,-27.78,1.49,-10.91,0.63,14.14,-3.72
2013-09-01,-7.31,-8.56,-23.08,-3.66,-5.1,-1.88,-7.52,-12.08
2013-10-01,8.82,3.12,10.0,21.29,34.41,7.01,-1.2,20.33
2013-11-01,18.92,17.48,-18.18,22.88,-27.2,25.0,39.47,1.83
2013-12-01,-8.91,-7.44,133.33,-14.8,-9.89,-29.52,-13.54,22.87
2014-01-01,-11.38,-12.36,-61.9,-6.29,41.46,-59.46,-4.22,-14.23
2014-02-01,6.31,4.76,37.5,8.31,-22.41,113.33,6.29,-6.81
2014-03-01,2.75,9.76,27.27,-10.32,43.33,17.19,-4.73,-5.02
2014-04-01,7.53,-0.92,-35.71,27.63,-4.65,25.33,0.83,17.79
2014-05-01,-3.45,0.93,11.11,-11.08,-26.83,-11.17,14.37,-21.22
2014-06-01,-9.53,-7.52,110.0,-16.81,6.67,18.56,-30.34,18.65
2014-07-01,19.1,8.79,-23.81,43.9,39.58,-18.69,35.57,15.28
2014-08-01,-9.31,-1.83,12.5,-22.03,-17.16,16.15,-8.94,-21.59
2014-09-01,3.96,3.11,-33.33,7.76,-4.5,-9.63,6.05,15.94
2014-10-01,4.99,5.27,41.67,3.17,-8.49,-5.92,17.72,-8.33
2014-11-01,-6.8,-5.87,-47.06,-6.7,7.22,6.92,-23.91,23.64
2014-12-01,7.19,9.42,122.22,-0.3,10.58,0.0,8.57,8.09
2015-01-01,1.12,-2.36,-70.0,12.91,-6.96,-17.65,7.89,3.74
2015-02-01,-18.34,-16.93,33.33,-21.81,-57.01,-30.71,-5.44,-21.64
2015-03-01,8.35,7.36,150.0,6.46,121.74,48.45,2.18,-16.74
2015-04-01,23.96,18.34,-5.0,37.06,90.2,16.67,0.78,55.28
2015-05-01,-9.33,-4.58,-52.63,-15.62,-24.74,-13.69,-1.16,-11.0
2015-06-01,11.68,-1.13,55.56,35.64,50.0,0.69,7.6,4.73
2015-07-01,-4.9,8.43,-21.43,-23.42,-29.22,17.81,-0.18,-6.94
2015-08-01,-1.4,-3.29,-45.45,3.72,-27.1,-12.21,12.89,-8.96
2015-09-01,8.32,1.63,83.33,19.74,15.04,-7.95,4.98,23.77
2015-10-01,-13.56,-5.5,9.09,-26.98,1.54,23.02,-20.67,-21.52
2015-11-01,10.78,9.79,-50.0,14.96,-4.55,-2.34,17.18,14.77
2015-12-01,-2.22,-1.16,183.33,-7.14,23.02,-1.8,-3.46,-11.4
2016-01-01,-4.71,-1.7,5.88,-11.54,-8.39,-10.37,-4.95,2.07
2016-02-01,12.18,14.23,-33.33,9.94,-42.25,42.18,12.21,25.61
2016-03-01,-9.31,-12.34,-25.0,-1.41,86.59,-22.97,-14.08,-15.86
2016-04-01,4.68,3.19,44.44,6.88,-22.22,28.57,11.92,-9.23
2016-05-01,-1.29,-3.09,-61.54,4.56,-30.25,-7.73,-0.67,17.37
2016-06-01,4.79,2.12,280.0,6.41,39.76,0.0,-1.01,10.11
2016-07-01,2.99,0.0,-57.89,11.33,14.66,-17.28,8.8,0.0
2016-08-01,-5.49,-4.55,112.5,-9.09,0.75,7.59,-11.04,-3.28
2016-09-01,-8.8,5.86,-11.76,-34.29,-29.85,-10.59,-5.07,-5.42
2016-10-01,22.94,10.55,-33.33,60.87,70.21,26.97,14.36,21.51
2016-11-01,-13.18,-4.89,-70.0,-27.93,-48.75,10.88,-6.76,-21.83
2016-12-01,9.82,-1.96,266.67,37.5,9.76,3.27,-4.15,45.66
2017-01-01,-4.95,-2.0,-72.73,-8.64,32.22,-12.67,17.66,-41.71
2017-02-01,6.81,10.06,500.0,-3.23,-5.04,-6.74,-1.23,48.0
2017-03-01,-6.37,-3.24,-50.0,-11.31,2.65,-21.11,-1.55,-10.81
2017-04-01,-3.7,-1.32,77.78,-11.59,-26.72,43.66,-12.6,1.68
2017-05-01,0.96,0.85,-18.75,2.3,1.18,-20.1,5.05,7.62
2017-06-01,7.95,4.21,-53.85,20.51,89.53,28.22,-7.72,4.31
2017-07-01,-3.44,-3.0,100.0,-6.12,-26.99,-22.97,15.06,-9.44
2017-08-01,-3.9,3.09,-33.33,-19.55,-9.24,4.97,-6.79,-0.65
2017-09-01,1.9,-3.23,125.0,14.08,-6.48,13.02,-3.47,8.85
2017-10-01,6.44,4.65,0.0,11.42,47.52,4.71,10.77,-12.35
2017-11-01,1.27,5.24,-55.56,-5.54,-38.26,-9.0,5.83,18.9
2017-12-01,-7.54,-10.82,-50.0,2.35,-5.43,-9.89,-12.71,2.89
2018-01-01,10.37,5.83,200.0,18.91,28.74,-16.46,19.3,3.93
2018-02-01,-1.69,2.52,41.67,-11.81,17.86,8.76,-10.29,4.32
2018-03-01,3.21,-2.13,-17.65,17.21,-9.85,22.15,1.97,2.33
2018-04-01,-3.19,3.77,50.0,-19.11,-19.33,-10.44,8.36,-13.16
2018-05-01,6.35,6.83,-42.86,8.07,13.54,46.63,-2.37,2.33
2018-06-01,-12.16,-10.72,-16.67,-15.73,-1.83,-31.38,-13.22,-0.28
2018-07-01,1.34,0.35,-40.0,5.38,-3.74,9.76,11.21,-17.14
2018-08-01,6.62,3.57,183.33,11.41,-2.91,2.22,5.35,15.52
2018-09-01,-2.95,-2.78,-47.06,-1.35,42.0,-4.35,-15.25,8.96
2018-10-01,-2.32,-0.34,111.11,-9.84,-31.69,5.11,6.7,-8.49
2018-11-01,-3.28,-10.44,-42.11,17.88,9.28,-19.46,7.11,-16.77
2018-12-01,-7.28,-0.77,81.82,-22.88,2.83,-13.42,-3.7,-16.19
2019-01-01,11.96,18.32,-20.0,-2.33,23.85,3.1,8.65,20.17
2019-02-01,-8.56,-15.16,-68.75,15.36,-37.04,15.04,-5.75,-12.86
2019-03-01,6.24,7.58,0.0,3.25,-3.53,-15.03,2.5,32.79
2019-04-01,6.8,4.42,340.0,7.74,58.54,29.23,0.31,-2.16
2019-05-01,1.65,-3.43,-45.45,16.22,-33.85,-5.95,9.89,3.15
2019-06-01,-3.87,4.15,-8.33,-19.22,30.23,14.56,-12.05,-3.67
2019-07-01,-0.24,1.02,9.09,-3.68,-15.18,-2.21,0.31,5.08
2019-08-01,10.89,2.36,25.0,32.65,78.95,6.78,11.77,-8.16
2019-09-01,-4.65,2.09,-26.67,-17.52,-30.0,-13.76,0.56,2.96
2019-10-01,1.07,-3.99,9.09,13.44,0.0,8.59,-5.45,12.46
2019-11-01,2.11,2.69,58.33,-0.71,-10.92,-0.56,7.98,-3.41
2019-12-01,14.41,9.73,5.26,25.06,32.08,27.84,6.84,18.24
2020-01-01,2.13,-3.39,-55.0,14.89,50.0,-27.56,-0.38,6.97
2020-02-01,-2.02,6.6,100.0,-17.44,-45.24,19.63,12.08,-14.65
2020-03-01,-18.27,-15.09,-27.78,-24.55,-29.57,-20.0,-18.35,-13.62
2020-04-01,-26.07,-21.64,15.38,-37.87,-39.51,-12.82,-19.1,-44.79
2020-05-01,11.0,7.56,-46.67,24.89,42.86,4.41,-11.28,80.57
2020-06-01,21.85,22.16,-25.0,22.34,65.71,46.48,27.01,-7.28
2020-07-01,20.54,11.39,83.33,42.7,13.79,1.92,33.44,7.85
2020-08-01,-8.52,3.38,100.0,-34.45,-32.58,17.92,-18.01,9.81
2020-09-01,5.52,7.01,-72.73,6.01,41.57,-14.4,9.01,3.46
2020-10-01,4.75,6.73,150.0,-3.97,-27.78,-2.8,10.08,9.19
2020-11-01,0.0,-1.77,6.67,5.9,56.04,-3.37,-7.16,4.34
2020-12-01,4.6,8.99,-37.5,-7.8,-7.04,11.44,3.16,8.07
2021-01-01,0.99,-11.0,30.0,46.22,59.85,-6.25,-1.35,-8.6
2021-02-01,-13.87,-7.94,0.0,-28.1,-53.08,-35.71,-6.71,3.71
2021-03-01,20.8,16.87,69.23,30.75,59.6,102.22,17.44,-8.59
2021-04-01,-11.85,-13.04,-36.36,-7.47,-1.9,-35.53,-10.77,-1.57
2021-05-01,6.29,3.68,-35.71,14.25,-9.68,51.14,2.16,0.53
2021-06-01,3.84,6.46,22.22,-2.49,7.14,-26.32,7.34,16.36
2021-07-01,-3.21,-2.65,0.0,-4.69,-54.0,-4.59,7.07,-5.44
2021-08-01,-0.19,-3.16,-36.36,8.28,142.03,6.42,-2.81,-20.86
2021-09-01,-1.07,-1.09,42.86,-1.65,-23.35,3.52,-9.35,30.0
2021-10-01,0.13,0.92,0.0,-1.68,-5.47,3.88,0.98,-1.63
2021-11-01,7.98,10.63,70.0,0.43,-9.09,5.14,14.48,1.66
2021-12-01,1.0,-3.61,-82.35,15.96,25.45,39.11,-6.06,-9.79
2022-01-01,-1.16,0.17,233.33,-5.32,-21.01,-35.78,4.64,20.67
2022-02-01,1.94,1.7,210.0,-1.55,12.84,15.42,5.73,-13.92
2022-03-01,-1.33,-1.76,-51.61,2.76,70.73,-0.43,-13.6,5.97
2022-04-01,6.31,2.47,-20.0,15.71,-36.67,-4.76,23.55,-0.7
2022-05-01,-15.88,-12.29,141.67,-26.16,-3.01,3.18,-18.68,-22.93
2022-06-01,1.31,-4.07,-72.41,18.83,-4.65,-9.25,1.77,9.82
2022-07-01,-10.96,-10.56,87.5,-13.21,39.02,-20.87,-17.48,-6.7
2022-08-01,10.86,1.66,40.0,28.04,5.26,12.88,12.76,8.68
2022-09-01,-2.81,-4.02,-14.29,-0.51,-15.56,15.22,-7.09,3.86
2022-10-01,-3.56,-1.7,-22.22,-5.8,-34.87,10.38,5.62,-16.98
2022-11-01,-0.77,-8.52,0.0,11.41,-13.13,3.85,-6.21,13.42
2022-12-01,-8.15,8.18,-35.71,-28.62,131.4,-51.44,-7.3,-14.08
2023-01-01,4.05,-3.6,22.22,18.68,-35.68,11.02,15.89,0.66
2023-02-01,2.79,-0.97,18.18,8.45,-23.44,39.69,-2.89,12.7
2023-03-01,-1.57,1.83,69.23,-8.14,87.76,-28.42,6.87,-31.5
2023-04-01,-1.67,4.19,-50.0,-9.06,-32.07,33.59,-8.97,27.85
2023-05-01,16.99,15.38,-27.27,20.97,-23.2,48.57,17.84,13.2
2023-06-01,-10.29,-6.77,87.5,-17.86,-1.04,-35.0,-7.68,-0.87
2023-07-01,2.74,6.83,-40.0,-4.05,16.84,4.73,-3.55,12.94
2023-08-01,-9.79,-5.0,-11.11,-20.44,14.41,-9.6,-5.96,-24.74
2023-09-01,4.1,1.89,87.5,8.1,-32.28,21.88,6.61,3.81
2023-10-01,-0.22,1.03,13.33,-3.88,-5.81,8.21,-8.35,17.33
2023-11-01,10.67,14.91,-17.65,0.81,64.2,-3.79,12.29,3.69
2023-12-01,0.46,-7.38,35.71,22.67,-5.26,-2.96,0.12,5.21
2024-01-01,-9.2,-2.78,-5.26,-23.91,7.14,-30.46,-6.27,-9.9
2024-02-01,12.38,12.54,-11.11,13.14,-14.07,70.07,15.33,-6.65
2024-03-01,-15.46,-8.33,-56.25,-34.34,-16.38,-32.62,-16.02,-1.24
2024-04-01,5.56,0.77,-14.29,25.38,5.15,15.29,10.69,-10.97
2024-05-01,-4.98,-5.32,200.0,-7.67,-2.94,-19.34,-8.68,14.08
2024-06-01,0.84,-1.6,-5.56,9.3,20.2,20.55,-0.8,-10.19
2024-07-01,-4.67,-11.21,47.06,12.16,44.54,1.7,-13.23,-6.87
2024-08-01,9.96,15.73,40.0,-5.69,-29.65,16.76,19.28,8.49
2024-09-01,-2.44,3.47,-57.14,-14.08,37.19,-14.35,-5.74,-1.7
2024-10-01,-0.37,-9.11,0.0,30.1,-34.34,40.22,-8.16,13.49
2024-11-01,-4.22,6.96,0.0,-31.62,13.76,-31.47,7.08,-12.2
2024-12-01,16.91,6.31,100.0,52.63,19.35,18.6,24.19,-3.12
2025-01-01,-10.3,-7.24,-20.0,-17.73,-36.49,-12.25,-20.95,38.71
2025-02-01,9.72,9.8,16.67,8.98,43.62,-29.05,17.48,5.43
2025-03-01,-9.06,-13.66,-50.0,7.97,9.63,75.59,-15.12,-29.41
2025-04-01,3.17,0.0,28.57,9.92,23.65,4.04,7.18,-17.71
2025-05-01,-8.3,0.11,11.11,-27.55,-43.17,-21.12,-6.3,24.89
2025-06-01,7.8,-2.53,20.0,38.34,66.35,4.37,1.14,5.07
2025-07-01,2.75,2.81,-16.67,3.7,-42.77,23.04,19.38,-22.19
2025-08-01,-9.08,-8.62,-45.0,-8.46,-1.01,-5.96,-21.09,26.45
2025-09-01,2.87,-3.8,0.0,17.03,69.39,-10.41,-2.55,2.94
2025-10-01,-4.22,6.94,127.27,-26.61,-13.25,2.53,2.77,-18.1
2025-11-01,4.09,4.14,-40.0,7.08,6.94,-16.75,12.14,-1.94
2025-12-01,4.76,3.33,26.67,7.41,-13.64,15.38,-2.81,31.23
2026-01-01,7.21,-2.81,47.37,29.06,47.37,-10.77,11.42,-7.53
