date,Total Housing Starts Period %,Single-Family Starts Period %,2-4 Unit Starts Period %,5+ Unit Starts Period %,Starts - Northeast Period %,Starts - Midwest Period %,Starts - South Period %,Starts - West Period %
1968-05-01,-9.4,-8.11,3.85,-13.43,-4.91,-9.38,-9.13,-13.18
1968-06-01,-0.21,-6.0,11.11,8.18,3.29,1.72,-6.24,7.04
1968-07-01,7.62,15.52,-11.11,-1.36,16.82,7.63,14.97,-13.15
1968-08-01,-1.12,-3.79,-3.75,4.13,-1.17,-10.5,-1.45,14.34
1968-09-01,4.08,4.05,-1.3,4.91,6.3,6.16,0.33,8.01
1968-10-01,0.84,3.14,0.0,-2.88,-18.52,7.73,6.67,-2.26
1968-11-01,3.89,-7.97,6.58,24.44,-7.73,-3.08,9.91,7.92
1968-12-01,-5.03,5.02,-9.88,-17.56,9.36,-2.38,-10.68,-4.28
1969-01-01,14.28,4.99,23.29,28.52,25.23,26.83,17.55,-15.34
1969-02-01,-3.62,-9.41,21.11,1.12,-21.22,19.66,-11.62,-3.4
1969-03-01,-8.45,-4.57,-15.6,-12.08,30.14,-32.86,-15.99,32.42
1969-04-01,-2.37,-2.51,8.7,-3.79,-15.09,-8.78,3.56,5.6
1969-05-01,3.87,10.06,-19.0,-0.66,-1.24,13.99,4.64,-3.91
1969-06-01,-3.47,-9.25,-7.41,5.62,11.72,-17.65,-1.31,-1.45
1969-07-01,-10.47,-2.7,-14.67,-19.87,-41.95,-9.32,-4.83,2.95
1969-08-01,-0.73,-5.93,3.12,6.84,21.94,30.82,-10.84,-20.06
1969-09-01,10.97,10.6,27.27,9.51,-23.28,1.83,22.35,25.09
1969-10-01,-8.36,-8.13,11.9,-11.52,22.76,-23.39,-9.46,-2.58
1969-11-01,-11.01,-2.25,-17.02,-22.45,-8.99,-14.77,-12.04,-6.76
1969-12-01,7.97,-2.43,33.33,21.9,5.56,9.45,11.87,1.58
1970-01-01,-18.24,-17.45,-42.31,-14.37,-14.62,-13.67,-14.39,-30.75
1970-02-01,20.28,24.16,16.67,15.38,60.96,-3.75,11.55,38.12
1970-03-01,1.07,-1.89,-2.86,6.06,6.38,21.21,-2.07,-12.34
1970-04-01,-4.17,-0.83,-10.29,-8.0,-15.6,-5.36,2.5,-5.19
1970-05-01,2.06,4.03,39.34,-5.59,-11.37,-2.64,7.5,6.25
1970-06-01,7.36,7.61,-2.35,8.77,1.07,18.22,2.62,11.4
1970-07-01,9.53,1.49,13.25,21.98,27.51,3.93,8.16,6.93
1970-08-01,-7.78,1.96,-4.26,-21.49,-23.65,-12.3,-2.2,-3.09
1970-09-01,9.65,3.72,12.22,19.58,24.46,-1.44,7.23,15.92
1970-10-01,3.0,2.08,-12.87,7.22,5.68,17.15,-3.9,3.57
1970-11-01,4.24,4.87,27.27,0.0,2.07,7.79,13.1,-12.73
1970-12-01,14.94,19.65,-9.82,12.32,-2.83,8.96,19.03,25.53
1971-01-01,-3.43,-9.39,1.98,5.41,-2.08,-7.96,-10.43,14.53
1971-02-01,-4.76,0.5,4.85,-13.45,0.0,-8.07,-4.01,-5.92
1971-03-01,9.71,6.84,6.48,14.9,-8.51,32.6,10.24,2.02
1971-04-01,3.98,5.19,5.22,1.95,9.3,6.86,0.37,5.29
1971-05-01,3.17,1.5,-6.61,7.39,14.89,-13.94,6.82,7.32
1971-06-01,-1.12,0.7,8.85,-5.22,-5.93,5.14,0.8,-6.63
1971-07-01,2.81,-0.95,9.76,7.53,12.99,1.71,-3.17,9.39
1971-08-01,3.6,2.26,1.48,5.88,-0.35,10.58,7.94,-6.87
1971-09-01,-5.42,-1.62,0.73,-11.69,-14.34,-1.74,-4.76,-4.92
1971-10-01,4.26,4.94,-13.77,6.55,-3.67,2.21,4.09,10.78
1971-11-01,2.54,1.07,-13.45,7.15,28.39,0.87,1.64,-6.23
1971-12-01,5.18,6.29,21.36,1.64,5.61,2.36,5.37,7.26
1972-01-01,8.67,8.22,28.8,6.45,20.62,-6.71,5.4,21.66
1972-02-01,-4.17,-11.36,22.36,2.16,-28.5,4.94,4.74,-10.33
1972-03-01,-2.34,5.68,-27.92,-7.63,11.23,-12.42,-6.56,7.45
1972-04-01,-3.64,-6.14,1.41,-0.69,-8.47,5.87,5.73,-23.27
1972-05-01,-1.24,2.91,-18.75,-4.27,5.69,11.09,-6.82,-4.09
1972-06-01,1.49,-0.16,15.38,2.05,-3.03,-8.73,-0.5,19.96
1972-07-01,-0.09,1.34,-17.04,0.47,12.85,0.46,1.92,-11.03
1972-08-01,5.77,4.26,23.21,5.76,7.38,4.54,1.78,14.08
1972-09-01,4.16,4.01,-6.52,6.01,0.57,2.39,10.69,-4.24
1972-10-01,0.16,-4.15,24.03,3.25,6.27,0.21,-0.35,-2.88
1972-11-01,-2.58,-0.67,-13.12,-3.46,-10.19,-11.63,-1.23,8.32
1972-12-01,-2.27,-5.48,2.88,1.47,17.91,-17.46,-2.32,-2.93
1973-01-01,4.86,13.66,5.59,-6.74,-17.72,71.01,-2.1,-6.97
1973-02-01,-7.74,-6.29,-18.54,-8.23,-3.69,-9.49,-6.34,-11.34
1973-03-01,3.32,-7.76,4.07,21.21,1.92,-14.23,16.93,-5.48
1973-04-01,-11.88,-1.7,-3.12,-25.6,-4.39,-5.68,-29.22,24.64
1973-05-01,8.73,0.33,24.19,19.89,-5.9,22.69,15.64,-5.43
1973-06-01,-8.78,-9.34,-20.78,-5.94,6.97,-14.72,-7.49,-14.14
1973-07-01,2.71,6.51,10.66,-3.46,-17.92,1.11,13.27,-2.86
1973-08-01,-3.39,-6.11,-15.56,2.59,6.75,-1.53,-13.21,12.53
1973-09-01,-8.63,-7.87,-7.89,-9.75,1.12,-4.44,-11.44,-13.1
1973-10-01,-10.51,-4.81,-25.71,-16.13,-13.24,-13.26,-6.2,-14.07
1973-11-01,2.8,-1.03,20.51,6.52,8.47,-13.67,5.37,11.4
1973-12-01,-11.48,-14.17,-10.64,-7.76,-17.58,-7.45,-8.63,-16.54
1974-01-01,-4.91,-1.33,11.9,-11.97,10.43,13.42,-11.59,-17.61
1974-02-01,20.74,21.89,-10.64,24.45,12.02,9.17,26.21,30.53
1974-03-01,-11.24,-2.12,3.57,-26.44,-19.92,-4.34,-16.28,-0.58
1974-04-01,3.34,3.51,-1.15,3.82,-0.96,5.67,5.67,-0.88
1974-05-01,-11.26,-9.46,1.16,-16.83,-9.66,-17.16,-10.43,-7.42
1974-06-01,6.1,7.7,-19.54,7.91,16.58,20.06,-0.65,-0.64
1974-07-01,-13.02,-7.46,1.43,-26.94,-27.52,-11.05,-11.56,-8.06
1974-08-01,-13.22,-9.82,-25.35,-19.76,1.27,-13.94,-18.42,-10.53
1974-09-01,0.7,5.26,-16.98,-9.56,20.0,-1.06,-1.58,-5.49
