date,New Single-Family Homes Sold (SAAR) Period %,Median Sales Price - New Homes Period %,Average Sales Price - New Homes Period %,Months Supply of New Houses Period %,New Houses For Sale (SAAR) Period %
1975-03-01,13.0332,2.3747,3.6946,-14.4231,-3.9886
1975-04-01,13.8365,1.0309,-0.2375,-19.1011,-2.3739
1975-05-01,6.6298,0.7653,2.8571,-5.5556,-1.8237
1975-06-01,-3.7997,-4.0506,-1.6204,5.8824,-0.9288
1975-07-01,2.1544,1.847,-0.4706,-2.7778,-0.3125
1975-08-01,-0.5272,-1.0363,-2.6005,-2.8571,0.0
1975-09-01,-1.7668,3.9267,5.3398,7.3529,0.0
1975-10-01,9.5324,2.5189,1.1521,-9.589,1.5674
1975-11-01,11.6585,0.9828,-0.4556,-12.1212,-2.4691
1975-12-01,-1.6176,2.4331,5.0343,0.0,-0.9494
1976-01-01,-9.8655,-1.1876,-1.3072,10.3448,-0.3195
1976-02-01,6.7993,2.6442,1.3245,-7.8125,-1.2821
1976-03-01,-8.2298,2.1077,1.9608,15.2542,3.8961
1976-04-01,3.3841,-0.6881,0.0,-5.8824,0.625
1976-05-01,-6.7103,0.6928,1.4957,9.375,2.795
1976-06-01,3.6842,5.7339,3.5789,-1.4286,1.2085
1976-07-01,12.3519,-3.2538,-2.439,-7.2464,0.8955
1976-08-01,-2.4096,-0.8969,1.0417,-3.125,-0.5917
1976-09-01,7.4074,1.1312,-0.6186,0.0,1.1905
1976-10-01,1.7241,1.3423,4.5643,-6.4516,1.1765
1976-11-01,3.8136,1.1038,-0.7937,3.4483,1.4535
1976-12-01,4.3537,0.2183,1.2,-6.6667,1.1461
1977-01-01,7.5619,-0.8715,0.1976,-5.3571,0.2833
1977-02-01,1.697,4.1758,3.7475,-3.7736,0.8475
1977-03-01,3.9333,-2.5316,-1.9011,-1.9608,0.5602
1977-04-01,-8.3716,5.4113,5.814,10.0,0.8357
1977-05-01,1.0013,1.232,-0.3663,-1.8182,0.5525
1977-06-01,-0.2478,-1.217,-0.9191,1.8519,1.0989
1977-07-01,-6.2112,-0.2053,-0.5566,10.9091,1.9022
1977-08-01,7.0199,0.823,1.306,-4.918,3.2
1977-09-01,4.2079,-1.0204,-0.7366,1.7241,0.2584
1977-10-01,-2.7316,5.9794,6.1224,3.3898,2.0619
1977-11-01,1.221,0.7782,1.049,-1.6393,1.0101
1977-12-01,0.7238,1.7375,-0.346,0.0,0.5
1978-01-01,-4.7904,-0.759,1.5625,-1.6667,0.4975
1978-02-01,-0.5031,1.7208,1.0256,6.7797,0.0
1978-03-01,2.9077,0.0,1.3536,-3.1746,0.0
1978-04-01,6.1425,0.188,-1.0017,-4.918,1.2376
1978-05-01,-0.8102,4.5028,5.059,1.7241,0.978
1978-06-01,-2.6838,1.7953,1.4446,5.0847,1.4528
1978-07-01,-5.3957,-3.351,-0.4747,6.4516,0.0
1978-08-01,-4.1825,2.3723,0.159,0.0,-0.2387
1978-09-01,7.4074,2.139,2.2222,-10.6061,-0.4785
