date,All Employees - Construction Period %,All Employees - Residential Building Period %,All Employees - Nonresidential Building Period %
1978-04-01,3.11,,
1978-05-01,-0.14,,
1978-06-01,1.79,,
1978-07-01,0.55,,
1978-08-01,0.39,,
1978-09-01,0.09,,
1978-10-01,0.52,,
1978-11-01,0.13,,
1978-12-01,-0.07,,
1979-01-01,-1.73,,
1979-02-01,0.37,,
1979-03-01,3.71,,
1979-04-01,-0.79,,
1979-05-01,1.09,,
1979-06-01,0.85,,
1979-07-01,0.37,,
1979-08-01,0.28,,
1979-09-01,-0.19,,
1979-10-01,-0.11,,
1979-11-01,-0.06,,
1979-12-01,0.28,,
1980-01-01,-0.11,,
1980-02-01,-0.43,,
1980-03-01,-1.24,,
1980-04-01,-1.65,,
1980-05-01,-0.87,,
1980-06-01,-0.88,,
1980-07-01,-1.0,,
1980-08-01,0.6,,
1980-09-01,0.55,,
1980-10-01,0.23,,
1980-11-01,-0.05,,
1980-12-01,0.14,,
1981-01-01,-0.93,,
1981-02-01,-0.39,,
1981-03-01,0.9,,
1981-04-01,0.41,,
1981-05-01,-1.61,,
1981-06-01,-0.74,,
1981-07-01,-0.28,,
1981-08-01,-0.49,,
1981-09-01,-0.56,,
1981-10-01,-0.38,,
1981-11-01,-0.68,,
1981-12-01,-0.76,,
1982-01-01,-2.59,,
1982-02-01,1.52,,
1982-03-01,-0.56,,
1982-04-01,-0.61,,
1982-05-01,0.22,,
1982-06-01,-1.52,,
1982-07-01,-0.72,,
1982-08-01,-0.6,,
1982-09-01,-0.38,,
1982-10-01,-0.56,,
1982-11-01,0.18,,
1982-12-01,0.03,,
1983-01-01,1.85,,
1983-02-01,-1.42,,
1983-03-01,-0.55,,
1983-04-01,0.15,,
1983-05-01,0.3,,
1983-06-01,1.16,,
1983-07-01,1.22,,
1983-08-01,1.11,,
1983-09-01,0.93,,
1983-10-01,0.97,,
1983-11-01,0.93,,
1983-12-01,0.74,,
1984-01-01,1.34,,
1984-02-01,2.44,,
1984-03-01,-0.39,,
1984-04-01,0.68,,
1984-05-01,0.75,,
1984-06-01,1.14,,
1984-07-01,0.6,,
1984-08-01,0.29,,
1984-09-01,0.64,,
1984-10-01,0.31,,
1984-11-01,0.59,,
1984-12-01,0.76,,
1985-01-01,0.34,,
1985-02-01,-0.13,-1.09,
1985-03-01,1.46,1.31,
1985-04-01,0.72,0.52,
1985-05-01,0.48,0.7,
1985-06-01,0.04,0.26,
1985-07-01,0.21,0.56,
1985-08-01,0.5,1.19,
1985-09-01,0.6,0.8,
1985-10-01,0.33,0.19,
1985-11-01,0.23,0.46,
1985-12-01,0.16,1.49,
1986-01-01,0.43,-1.01,
1986-02-01,-0.08,-0.06,
1986-03-01,0.2,0.2,
1986-04-01,0.73,1.25,
1986-05-01,-0.53,0.68,
1986-06-01,-0.14,0.61,
1986-07-01,0.26,0.51,
1986-08-01,0.26,1.02,
1986-09-01,-0.08,0.55,
1986-10-01,0.3,0.9,
1986-11-01,0.12,-0.08,
1986-12-01,0.67,1.6,
1987-01-01,0.28,-1.98,
1987-02-01,0.62,0.26,
1987-03-01,0.02,0.51,
1987-04-01,0.28,0.03,
1987-05-01,0.53,-0.07,
1987-06-01,0.12,0.12,
1987-07-01,0.12,0.49,
1987-08-01,0.2,-0.4,
1987-09-01,-0.12,0.33,
1987-10-01,0.9,1.33,
1987-11-01,0.19,0.2,
1987-12-01,0.54,0.09,
1988-01-01,-1.66,0.2,
1988-02-01,1.33,0.27,
1988-03-01,0.76,0.41,
1988-04-01,0.5,0.52,
1988-05-01,0.02,-0.37,
1988-06-01,0.63,0.77,
1988-07-01,0.17,-1.31,
1988-08-01,-0.04,-0.35,
1988-09-01,0.04,-0.54,
1988-10-01,-0.15,-1.04,
1988-11-01,0.21,-0.15,
1988-12-01,0.08,-0.18,
1989-01-01,0.23,0.62,
1989-02-01,-0.21,-1.77,
1989-03-01,-0.34,-2.05,
1989-04-01,0.67,0.11,
1989-05-01,0.08,0.2,
1989-06-01,-0.02,-0.38,
1989-07-01,0.36,0.33,
1989-08-01,0.24,1.09,
1989-09-01,-0.13,-0.91,
1989-10-01,0.45,-0.37,
1989-11-01,0.32,0.08,
1989-12-01,-1.03,-0.34,
1990-01-01,2.13,0.65,
1990-02-01,-0.11,-0.42,-0.33
1990-03-01,-0.44,-0.61,-0.5
1990-04-01,-0.69,-1.49,-0.35
1990-05-01,-0.63,-0.56,0.15
1990-06-01,-0.34,-1.05,0.75
1990-07-01,-0.55,-1.1,-1.08
1990-08-01,-0.76,-1.57,-0.67
1990-09-01,-0.71,-0.98,-0.07
1990-10-01,-1.21,-1.6,-1.47
1990-11-01,-0.76,-1.93,-1.03
1990-12-01,-0.94,-1.5,-0.98
1991-01-01,-1.49,-2.29,-1.64
1991-02-01,-0.86,-1.59,-0.67
1991-03-01,-0.97,-0.38,-1.05
1991-04-01,-0.8,-1.74,-0.12
1991-05-01,-0.87,-0.48,-1.32
1991-06-01,-0.38,-0.84,-0.59
1991-07-01,-0.63,-1.0,-0.44
1991-08-01,-0.4,-0.84,-0.56
1991-09-01,-0.11,-0.19,-0.63
1991-10-01,-0.63,-0.86,-1.29
1991-11-01,-1.23,-0.91,-1.25
1991-12-01,0.15,-0.61,0.69
1992-01-01,0.43,-0.61,0.28
1992-02-01,-1.18,-1.05,-1.15
1992-03-01,0.2,-0.16,-0.14
1992-04-01,-0.39,-0.39,-1.24
1992-05-01,0.04,0.0,-0.27
1992-06-01,-0.46,0.02,-0.57
1992-07-01,-0.31,0.74,-0.52
1992-08-01,0.24,1.15,0.29
1992-09-01,0.07,0.71,-0.24
1992-10-01,0.35,0.2,-0.1
1992-11-01,0.13,0.36,-0.32
1992-12-01,0.52,0.04,-0.08
1993-01-01,0.73,0.57,0.59
1993-02-01,1.07,0.83,0.97
1993-03-01,-0.81,0.42,-0.58
1993-04-01,0.3,0.82,0.3
1993-05-01,1.34,1.25,0.82
1993-06-01,0.15,-0.02,0.42
1993-07-01,0.48,0.1,0.26
1993-08-01,0.48,-0.02,0.23
1993-09-01,0.35,0.6,0.25
1993-10-01,0.93,0.82,1.22
1993-11-01,0.39,1.39,0.2
1993-12-01,0.78,1.3,0.5
1994-01-01,0.3,1.15,-0.48
1994-02-01,-0.34,-0.77,-1.02
1994-03-01,1.36,1.81,2.2
1994-04-01,1.14,0.27,0.95
